"id","nodesid","name","continuationfromid","fromyear","toyear","description","category","commodities","date","fixedday","fixedmonth","numberofdays","weekday","beforeafter","datedependson","startmax","startmin","endmax","endmin"
"1793","1615",null,null,"1326",null,"Single-day fair on Sunday before St John the Baptist","local",null,"movable","24","6",null,"Sunday","before","Fixed date",null,null,null,null
"1795","839",null,null,"1249",null,"Four-day fair from the day before St Michael until St Remigius","regional",null,"fixed","28","9",null,null,null,null,null,null,null,"3"
"1797","839",null,null,"1297",null,"Four-day fair from the day before St George until St Liudger","regional",null,"fixed","22","4",null,null,null,null,null,null,null,"3"
"1799","839",null,null,"1594",null,"One-day fair on the day before Corpus Christi","local",null,"movable",null,null,null,"Saturday","before","Sacramentum",null,null,null,null
"1801","4353",null,null,"1598",null,"Fair on Sunday Letare","regional",null,"movable",null,null,null,null,null,"Letare",null,null,null,null
"1803","2281",null,null,"1598",null,"Fair on Sunday Judica","regional",null,"movable",null,null,null,null,null,"Judica",null,null,null,null
"1805","14426",null,null,"1598",null,"Fair on Palm Sunday","local",null,"movable",null,null,null,null,null,"Palmarum",null,null,null,null
"1807","7411",null,null,"1598",null,"Fair on Palm Sunday","regional",null,"movable",null,null,null,null,null,"Palmarum",null,null,null,null
"1809","2873",null,null,"1598",null,"Fair on Sunday Quasimodogeniti","regional",null,"movable",null,null,null,null,null,"Quasimodo",null,null,null,null
"1811","4353",null,null,"1330",null,"Fair on St Nicolas","regional",null,"fixed","6","12",null,null,null,null,null,null,null,null
"1813","2802",null,null,"1598",null,"Fair on Monday before St Philipp and James","local",null,"movable","3","5",null,"Monday","before","Fixed date",null,null,null,null
"1815","2337",null,null,"1500",null,"Fair on Sunday Jubilate","regional",null,"movable",null,null,null,null,null,"Jubilate",null,null,null,null
"1817","2337",null,null,"1500",null,"Fair on Holy Innocent&#039;s Day","regional",null,"fixed","28","12",null,null,null,null,null,null,null,null
"1819","4853",null,null,"1475",null,"Fair on Saturday after Letare, moved from Lommatzsch to Mei&szlig;en in 1475.","local",null,"movable",null,null,null,"Saturday","after","Letare",null,null,null,null
"1823","17721",null,null,"1563",null,"Fair on Sunday after Invocavit","local",null,"movable",null,null,null,"Sunday","after","Invocavit",null,null,null,null
"1825","17721","Pfingstmarkt",null,"1563",null,"Fair on the third day of Pentecost, known today as &quot;Heiratsmarkt&quot;","regional",null,"movable",null,null,null,"Tuesday","after","Pentecost",null,null,null,null
"1827","17721",null,null,"1563",null,"Fair on Sunday after St Kilian","local",null,"movable","8","7",null,"Sunday","after","Fixed date",null,null,null,null
