"id","fairid","language","description"
"1980","840","deu","Jahrmarkt am anderen Pfingsttag."
"1984","1893","deu","Jahrmarkt am Sonntag vor St. Burkhard, 1498 verliehen."
"1990","1899","fin","Paltaniemen juhannusmarkkinat siirrettiin 1650 Kajaaniin."
"2000","1907","fin","Vaasan markkinap&auml;iviksi vahvistettiin 1606 kynttil&auml;np&auml;iv&auml; (2.2.) ja Laurentius (10.8.). Markkinoista annettiin tarkempia m&auml;&auml;r&auml;yksi&auml; 1611. Laurentiuksen markkinat vahvistettiin uudelleen 1640 ja ne mainitaan 1708. Molemmat markkinap&auml;iv&auml;t voivat takautua 1300-luvun j&auml;lkipuolelle."
"2030","1879","deu","Jahrmarkt am Mittwoch nach St. Martin (11. November)."
"352","332","deu","1394 wurde festgelegt dass die Fastenmesse am Freitag vor Palmsonntag enden sollte."
"354","334","deu","1394 wurde festgelegt dass die Herbstmesse nicht länger als acht Tage über Mariä Geburt hinaus dauern sollte."
"356","336","deu","Der Frankfurter Rat bestimmte 1399 in Absprache mit den Kaufleuten, dass der alte Zustand der Herbstmesse, also vom Mariä Himmelfahrt bis Mariä Geburt, wieder hergestellt werden sollte."
"358","338","deu","1479 bestimmte der Frankfurter Rat nach häufiger Vernachlässigung der bisherigen Termine, dass die Fastenmesse nicht langer als bis zum Dienstag vor Ostern dauern sollte, und gewährte eine viertägige Vor- und Nachmessezeit. Diese Zeit wurde wahrscheinlich schon um die Mitte des 14. Jhs. gängig als Messetermin."
"360","340","deu","Trotz regelmäßiger Mahnungen des Frankfurter Rates die 1476 festgelegten Termine für die Fastenmesse zu beachten, wurde die Messe meistens später organisiert. So fing sie 1502 erst am Palmsonntag an und endete 14 Tage nach Ostern. Im 16. und 17. Jh. wurde sie aber in der Regel zwischen dem Sonntag Judica und dem Osterdienstag gehalten."
"2034","1939","fin","Salon sillan markkinap&auml;ivi&auml; olivat 1600-luvulla apostoli Bartolomeus (24.8.) ja apostoli Matteus (21.9.), sek&auml; Halikosta siirretyt pyh&auml;n Birgitan (7.10.) markkinat ja paikalliset Marian yl&ouml;snousemuksen (15.8.) markkinat."
"2044","1949","fin","Rauman kynttil&auml;np&auml;iv&auml;n markkinat mainitaan 1585 ja 1598, ja ne vahvistettiin 1607. Vuonna 1624 talvimarkkinoiden ajankohta siirrettiin Paavalinp&auml;iv&auml;&auml;n (25.1.)."
"2049","1954","nld","Jaarmarkt op de eerste werkdag na Sint Maarten (11 november)."
"370","350","deu","Quasimodogeniti"
"372","352","deu","Michaelistag"
"2062","1968","fin","J&auml;&auml;sken Pietarin vuotuismarkkinat vahvistettiin 1542 ja 1594."
"376","356","deu","Jahrmarkt am Fest der 11000 Jungfrauen."
"2039","1944","fin","Vuonna 1622 kuningas vahvisti Kokkolan ja Oulun oikeudet Kalajoella pyh&auml;n Erikin p&auml;iv&auml;n&auml; 18.5. ja Laurentiuksena 10.8. pidettyihin markkinoihin."
"2040","1945","fin","Vuonna 1622 kuningas vahvisti Kokkolan ja Oulun oikeudet Kalajoella pyh&auml;n Erikin p&auml;iv&auml;n&auml; 18.5. ja Laurentiuksena 10.8. pidettyihin markkinoihin."
"382","362","deu","Der viertägige sogenannte &#34;Neue Markt&#34; am Fest der Kreuzerhöhung, wurde ab 1190 erwähnt und zwischen 1471 und 1491 eingestellt."
"2091","1997","nld","Achtdaagse jaarmarkt op Elfduizendmaagdendag (21 oktober)."
"2093","1999","nld","Pinksterjaarmarkt, met een duur van ca. zes weken."
"414","396","deu","Der Kreuzmarkt wurde 1528 eingerichtet. Hier wurde neben Butter und Käse hauptsächlich Flachs aus dem Umland verhandelt."
"416","398","deu","1508 wurde ein Markt am St. Bartholomäus eingerichtet."
"418","400","deu","&#34;Stille&#34; Markt am Mittfasten"
"420","402","deu","Ein Jahrmarkt in Gesmold wird 1580 erwähnt, 1599 spezifiziert als Kram- und Viehmarkt am Montag nach Kreuzerhöhung."
"426","408","deu","Der Herbstjahrmarkt an Dionysius wurde 1638 auf 9 Tage verlängert"
"432","414","deu","Pferdemarkt am Mittwoch nach Invocavit."
"434","416","deu","Pferdemarkt am Tag nach Johannis Baptistae."
"436","418","deu","Pferdemarkt am Tag nach der Teilung der 12 Aposteln."
"438","420","deu","Jahrmarkt für Folen, zwei Tage nach Mauritii."
"1967","1884","deu","Vieh- und Jahrmarkt am Montag nach Laurentius."
"1976","1192","deu","Jahrmarkt am Montag nach L&auml;tare."
"1981","836","deu","Jahrmarkt am St. Burkhardt."
"1991","1900","fin","Kaljaanin talvimarkkinat m&auml;&auml;r&auml;ttiin 1650 pidett&auml;v&auml;ksi kynttil&auml;np&auml;iv&auml;n&auml; (2.2.)."
"2001","1908","fin","Kristiinankaupungin markkinap&auml;iviksi vahvistettiin 1650&ndash;51 pyh&auml;n Ristin ylent&auml;minen (14.9.) ja kynttil&auml;np&auml;iv&auml; (2.2.)."
"2003","1910","deu","Jahrmarkt auf Allerheiligen."
"2005","1912","deu","Jahrmarkt auf St. Gallen."
"2006","1913","fin","Varhaisimmat tiedot Porvoon vuotuismarkkinoiden ajankohdista ovat vuodelta 1584, jolloin kuningas Juhana III vahvisti p&auml;iviksi vanhastaan k&auml;yt&ouml;ss&auml; olleet Marian visitaation (2.7., Saksalassa?) ja pyh&auml;n Ristin ylent&auml;misen (Exaltatio, 14.9., kaupungissa?). Samat oikeudet vahvistettiin 1594. Porvoon Ristin ylent&auml;misen markkinat mainitaan almanakassa 1598. Vuonna 1650 Porvoon vuotuiseksi markkinap&auml;iv&auml;ksi vahvistettiin my&ouml;s loppiainen (6.1.)."
"2008","1915","fin","Porvoon vuonna 1584 vahvistetut Marian Visitaation (2.7.) markkinat lienee j&auml;rjestetty jo tuolloin Saksalassa. Vuoden 1616 almanakan mukaan 1.7. pidettyj&auml; tervamarkkinoita kutsuttiin Enewaldin messuksi, mik&auml; saattaa takautua 1400-luvun alkuun. Saksalassa pidettiin paikallisia markkinoita viel&auml; 1800-lvun alussa."
"2009","1916","deu","Jahrmarkt auf Mari&auml; Geburt"
"2010","1917","deu","Jahrmarkt am Johannistag, mit einer Dauer von acht Tagen."
"2012","1919","fin","V&ouml;yrin markkinap&auml;iv&auml;t olivat 1622 Margareta (20.7.) ja Maria (8.9.?). Vuodesta 1650 l&auml;htien V&ouml;yrill&auml; pidettiin my&ouml;s Uudenkaarlepyyn porvareille varatut nelj&auml; p&auml;iv&auml;&auml; kest&auml;neet Nikolauksenp&auml;iv&auml;n (6.12.) markkinat."
"178","156","deu","Jahrmarkt am St. Nikolaus und der Tag nachher, 1501 erw&auml;hnt &quot;na older wonheit&quot;."
"2014","1922","fin","Isonkyr&ouml;n markkinap&auml;iv&auml;t olivat 1622 pyh&auml;n Henrikin talvinen muistop&auml;iv&auml; (20.1.) ja Laurentius (10.8.), jotka molemmat voivat hiippakunnan ja pit&auml;j&auml;nkirkon juhlina takautua keskiaikaan."
"2015","1923","fin","Isonkyr&ouml;n markkinap&auml;iv&auml;t olivat 1622 pyh&auml;n Henrikin talvinen muistop&auml;iv&auml; (20.1.) ja Laurentius (10.8.), jotka molemmat voivat hiippakunnan ja pit&auml;j&auml;nkirkon juhlina takautua keskiaikaan."
"486","470","deu","Am Tage Maria Magdalene fand ein Kirchweihfest statt mit Krammarkt. Der Markt blieb nach Abbruch der Kapelle nach 1519 bestehen, ist allerdings erstmals 1653 sicher erwähnt."
"488","472","deu","Jahrmarkt am Walpurgistag"
"2016","1924","fin","Lapuan markkinap&auml;iv&auml; oli 1622 kynttil&auml;np&auml;iv&auml; (2.2), 1600-luvun alkupuolella my&ouml;s Mikkelinp&auml;iv&auml; (29.9.)"
"2018","1926","fin","Pernajan markkinat j&auml;rjestettiin 1584 Mikaelinp&auml;iv&auml;n&auml; (29.9.)."
"2019","1927","fin","Pyht&auml;&auml;n markkinat mainitaan ensimm&auml;isen kerran 1553. Markkinat pidettiin ilmeisesti jo 1584 Bartolomeuksen p&auml;iv&auml;n&auml; (24.8.) V&auml;h&auml;-Ahvenkoskella. Pyht&auml;&auml;lt&auml; on tietoja my&ouml;s Pyht&auml;&auml;n kirkolla pidetyist&auml; Laurentiuksen (10.8.) markkinoista. "
"2020","1928","fin","Sipoon viimeist&auml;&auml;n vuodesta 1576 tunnetut juhannusmarkkinat (24.6.) siirrettiin 1584 Helsinkiin. Sipoossa j&auml;rjestettiin viimeist&auml;&auml;n 1616 my&ouml;s Helsingin porvareiden oikeuksiin kuuluneet Marianp&auml;iv&auml;n (8.9.) markkinat, jotka vahvistettiin 1682 kahden p&auml;iv&auml;n mittaisiksi."
"1633","1383","deu","Jahrmarkt am St. Bartholom&auml;us, der vermutlich auf den Kirchweihtag der Kirche zur&uuml;ckgeht."
"2022","1930","fin","Helsingin Vanhassakaupungissa vuodesta 1584 pidetyt vuotuiset juhannus- (24.6.) ja loppiaismarkkinat (6.1.) jatkuivat uudessa kaupungissa 1640-luvulla. Helsingin porvarit anoivat 1650-luvulla talvimarkkinoiden ajankohdan muuttamista, niin ett&auml; ne siirrettiin ensin kynttil&auml;np&auml;iv&auml;&auml;n (2.2.) ja 1680 Paavalinp&auml;iv&auml;&auml;n (25.1.)."
"504","490","deu","Jahrmarkt am Laurentius. Später wurde hieran ein Pferdemarkt verbunden."
"506","492","deu","Jahrmarkt am Martini. Er dauerte im 16. Jh. 14 Tage."
"508","494","deu","Ein Pferdemarkt wurde 1474 eingerichtet und mit einer Kirchmesse am Petri und Pauli verbunden. 1511 wurde der Pferdemarkt auf Mittwoch vor Palmarum verlegt; die Petri- und Paulikirchmesse wurde bis 1573 weiterhin organisiert."
"510","496","deu","Der Pferdemarkt wurde 1511 auf Mittwoch vor Palmarum verschoben und dauerte eine ganze Woche."
"2024","1932","fin","Helsingiss&auml; pidettiin vuodesta 1584 vuotuiset juhannus- (24.6.) ja loppiaismarkkinat (6.1.), jotka jatkuivat uudessa kaupungissa 1640-luvulla."
"514","500","deu","Der Palmarum-Jahrmarkt fand ab 1583 die ganze Woche nach Judica statt."
"516","502","deu","1559 wird ein Pfingstmarkt genannt"
"2035","1940","fin","Salon sillan markkinap&auml;ivi&auml; olivat 1600-luvulla apostoli Bartolomeus (24.8.) ja apostoli Matteus (21.9.), sek&auml; Halikosta siirretyt pyh&auml;n Birgitan (7.10.) markkinat ja paikalliset Marian yl&ouml;snousemuksen (15.8.) markkinat."
"2045","1950","fin","Rauman vuotuiseksi markkinap&auml;iv&auml;ksi kes&auml;ll&auml; vahvistettiin 1607 juhannus (24.6.). Vuonna 1624 p&auml;iv&auml;ksi tuli Bartolomeus (24.8.)."
"2050","1955","fin","Myn&auml;m&auml;en vuotuiset talvimarkkinat pidettiin 1623 kynttil&auml;np&auml;iv&auml;n&auml; (2.2.)."
"2079","1986","deu","Jahrmarkt zu Mittfasten."
"534","526","deu","Jahrmarkt in der Neustadt am 9. Mai."
"536","528","deu","Jahrmarkt in der Neustadt am 4. November"
"556","548","deu","1495 verlieh Bischof Konrad IV. einen fünftägigen Jahrmarkt, vom Sonnabend vor Michaelis bis zum nächsten Mittwoch."
"564","556","deu","Acht Tage nach Pfingsten"
"566","558","deu","Marien Geburt"
"568","560","deu","Rückverlegung des Marktes auf den alten Termin im Herbst."
"574","566","deu","Recht durch Kaiser Maximilian am 23. April 1571 erteilt. Dritter Markt in Gelnhausen"
"590","582","deu","Himmelfahrtsmarkt in Aschersleben."
"592","584","deu","Weihnachtsmarkt in Aschersleben."
"598","590","deu","14 Tage nach Pfingsten (Caland)"
"600","594","deu","Kirchweih St. Magnus, abgehalten am St. Bartholomäus. Später in den September verlegt."
"646","644","deu","Bischof Dietrich verlieh der Stadt 1484 einen Markt, beginnend an St. Viti und mit einer Dauer von 4 Tagen."
"648","646","deu","Stiftsadministrator Herzog August verlieh der Stadt 1593 einen Markt, der 1601 auf den Dienstag nach Jacobi festgesetzt wurde."
"2002","1909","fin","Kristiinankaupungin markkinap&auml;iviksi vahvistettiin 1650&ndash;51 pyh&auml;n Ristin ylent&auml;minen (14.9.) ja kynttil&auml;np&auml;iv&auml; (2.2.)."
"2004","1911","deu","Jahrmarkt am Jakobitag"
