"id","parentid","name","latitude","longitude","links","zoomlevel","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Fair","Fair_From","Fair_To","Gregorian_Calendar","Fair_Description","Is_Toll","Toll_From","Toll_To","Toll_Primary_Owner","Toll_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description","ready"
"12890",null,null,"51.179657","10.173281",null,"11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"12957","65",null,"50.777685","6.082615",null,"15",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"13063",null,"Beegden","51.188508","5.919584","gn:2759353;wd:Q631499","12","y","1202",null,"First mentioned in 1202.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"8073",null,"Vonsild","55.45645","9.476476","gn:2610034;wd:Q12344066;viaf:246273208","11","y","1200",null,"The village of Vonsild was first mentioned in 1436, but is significantly older. The parish church is from either the 12th or 13th century.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5690",null,"Orzechowo","52.490841","20.859319","gn:763047","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5718",null,"Ostenfeld","54.462735","9.231284","gn:2856765;wd:Q32209784;wd:Q32209784","11","y","1352",null,"First mentioned in 1352.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5632",null,"Bad Oldesloe","53.809975","10.37313","gn:2953385;wd:Q31897708","9","y","1152",null,"Oldesloe came into existence near saltworks, which are first mentioned before 1152. The church existed in 1163 at the latest.","y","1249",null,"Oldesloe received town privileges in the 13th century, possibly before 1249. An exact date is unknown.","y","1550",null,null,"Heinrich Rantzau mentions in his 1597 description of Schleswig and Holstein that a fair was held eight days after St John the Baptist. It is also mentioned in an almanac printed in Neudamm (Dębno) in 1598. In some years, the fair Kieler Umschlag was also held in Oldesloe. See Kiel for more information.","y","1175",null,null,"Toll of the counts of Holstein, first mentioned in 1175. L&uuml;beck citizens were exempted from the toll in 1226 (confirmed in 1247), but were still required to pay a fee for safe conduct. Bremen citizens were also exempted from the toll in 1347, 1396 and 1494. Because these exemptions greatly reduced the toll revenues, a &quot;new&quot; toll was installed in 1474, whereby the fee for safe conduct was raised to the height of the old toll. Dutch towns complained to L&uuml;beck in 1479 about the raise of toll tariffs from 4 to 7 shilling, equally on the Stecknitz canal. Bremen and Hamburg complained in 1511 about illegal toll levying in Oldesloe. Between 1340 and 1495, the toll was often partially or completely pawned to L&uuml;beck.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5633",null,"Oldisleben","51.309754","11.171088","gn:2857388;wd:Q628741;wd:Q628741;gnd:4439812-8;viaf:242722581;gov:OLDBENJO51OH;wd:Q32207079;wd:Q32207079","12","y","1089",null,"First mention in 1089 in the foundation charter of a Benedictine monastary by Kunigunde of Weimar-Orlam&uuml;nde. The settlement is probably older. Occasionally mentioned as town in the 13th century (1245, 1255), but it never developed into more than a market borough (&#039;Marktflecken&#039;).",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"12989",null,null,"51.49082","5.495551",null,"11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"19759",null,null,"51.210755","16.210949",null,"11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5636",null,"Alytus","54.400141","24.049278","gn:601084;wd:Q450625;gnd:4661605-6;viaf:123619933","9",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5637",null,"Oliwa","54.40887","18.555675","gn:3090147;wd:Q1447540;wd:Q1447540;gnd:4075642-7;viaf:158291450;bnf:11964028f;loc:n81148939","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5638",null,"Valkininkai","54.357816","24.839988","gn:593439;wd:Q2121733;wd:Q2121733;loc:n2005039441;gnd:4496808-5;viaf:140929820","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5639",null,"Olkusz","50.279456","19.559369","gn:3090146;wd:Q764943;wd:Q764943;gnd:4305210-1;loc:n82099676;viaf:155962401","8",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5640",null,"Oleška","50.282734","13.13363","gn:3069051;wd:Q12042507","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5641",null,"Ołobok","51.635549","18.06839","gn:3090142;wd:Q2189511;wd:Q2189511","10",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
