"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Nr. 2, 2. bind 1840","259038","48342329","337","2","48342635","337","308"
"Anhang nr. 2, 2. bind 1840","259039","48342636","337","309","48342731","337","406"
"Nr. 2, 3. bind 1840","259040","48342732","337","407","48342985","337","661"
"Nr. 2, 3. bind 1840","259041","48342986","338","2","48343041","338","57"
"Anhang nr. 2, 3. bind 1840","259042","48343042","338","58","48343127","338","143"
"Nr. 2, 4. bind 1840","259043","48343128","338","144","48343435","338","451"
"Anhang nr. 2, 4. bind 1840","259044","48343436","338","452","48343458","338","474"
"Nr. 2, 1. bind 1841","259045","48343459","338","475","48343634","338","650"
"Nr. 2, 1. bind 1841","259046","48343635","339","2","48343774","339","141"
"Anhang nr. 2, 1. bind 1841","259047","48343775","339","144","48343806","339","175"
"Nr. 2, 2. bind 1841","259048","48343807","339","176","48344118","339","487"
"Anhang nr. 2, 2. bind 1841","259049","48344119","339","488","48344191","339","560"
"Continuation nr. 2 1841","259050","48344192","339","561","48344205","339","574"
"Nr. 2, 3. bind 1841","259051","48344206","340","2","48344516","340","312"
"Anhang nr. 2, 3. bind 1841","259052","48344517","340","314","48344552","340","349"
"Anhang nr. 2, 3. bind 1841","259053","48344553","340","350","48344642","340","441"
"Nr. 2, 4. bind 1841","259053","48344643","340","442","48344838","340","637"
"Nr. 2, 4. bind 1841","259054","48344839","341","2","48344948","341","111"
"Anhang nr. 2, 4. bind 1841","259055","48344949","341","112","48344983","341","146"
"Nr. 2, 1. bind 1842","259056","48344984","341","147","48345342","341","505"
"Anhang nr. 2, 1. bind 1842","259057","48345343","341","506","48345371","341","534"
"Nr. 2, 2. bind 1842","259058","48345372","342","2","48345732","342","363"
"Nr. 2, 3. bind 1842","259059","48345733","342","364","48346030","342","662"
"Nr. 2, 3. bind 1842","259060","48346031","343","2","48346093","343","63"
"Anhang nr. 2, 3. bind 1842","259061","48346094","343","64","48346127","343","97"
"Nr. 2, 4. bind 1842","259062","48346128","343","98","48346471","343","443"
"Nr. 2, 1. bind 1843","259063","48346472","343","444","48346673","343","647"
"Nr. 2, 1. bind 1843","259064","48346674","344","2","48346878","344","206"
"Anhang nr. 2, 1. bind 1843","259065","48346879","344","207","48346953","344","281"
"Nr. 2, 2. bind 1843","259066","48346954","344","282","48347295","344","623"
"Nr. 2, 3. bind 1843","259067","48347296","345","2","48347717","345","432"
"Nr. 2, 4. bind 1843","259068","48347718","346","2","48347967","346","251"
"Nr. 2, 1. bind. Fra Nordsøen 1844","259069","48347968","346","252","48348254","346","538"
"Nr. 2, 2. bind. Fra Nordsøen 1844","259070","48348255","346","539","48348360","346","644"
"Nr. 2, 3. bind. Fra Nordsøen 1844","259071","48348361","347","2","48348527","347","168"
"Nr. 2, 4. bind. Fra Nordsøen 1844","259072","48348528","347","169","48348665","347","306"
"Nr. 2, 5. bind. Fra Østersøen 1844","259073","48348666","347","307","48348899","347","540"
"Nr. 2, 6. bind. Fra Østersøen 1844","259074","48348900","347","541","48349042","347","683"
"Nr. 2, 6. bind. Fra Østersøen 1844","259075","48349043","348","2","48349115","348","74"
"Nr. 2, 7. bind. Fra Østersøen 1844","259076","48349116","348","75","48349345","348","304"
"Nr. 2, 8. bind. Fra Østersøen 1844","259077","48349346","348","305","48349601","348","560"
"Nr. 2, 9. bind. Ballast 1844","259078","48349602","348","561","48349673","348","632"
"Nr. 2, 10. bind. Ballast 1844","259079","48349674","349","2","48349767","349","95"
"Nr. 2, 1. bind. Fra Nordsøen 1845","259080","48349768","349","96","48350065","349","393"
"Nr. 2, 2. bind. Fra Nordsøen 1845","259081","48350066","349","394","48350207","349","535"
"Nr. 2, 3. bind. Fra Nordsøen 1845","259082","48350208","349","536","48350339","349","667"
"Nr. 2, 3. bind. Fra Nordsøen 1845","259083","48350340","349","670","48350386","349","716"
"Nr. 2, 4. bind. Fra Nordsøen 1845","259084","48350387","350","1","48350567","350","181"
"Nr. 2, 5. bind. Fra Østersøen 1845","259085","48350568","350","182","48350786","350","400"
"Nr. 2, 6. bind. Fra Østersøen 1845","259086","48350787","350","401","48350951","350","565"
"Nr. 2, 7. bind. Fra Østersøen 1845","259087","48350952","350","567","48351004","350","619"
"Nr. 2, 7. bind. Fra Østersøen 1845","259088","48351005","351","2","48351170","351","167"
"Nr. 2, 8. bind. Fra Østersøen 1845","259089","48351171","351","168","48351411","351","408"
"Nr. 2, 9. bind. Ballast 1845","259090","48351412","351","409","48351490","351","488"
"Nr. 2, 10. bind. Ballast 1845","259091","48351491","351","489","48351556","351","554"
"Nr. 2, 1. bind. Fra Nordsøen 1846","259092","48351557","351","555","48351623","351","621"
"Nr. 2, 1. bind. Fra Nordsøen 1846","259093","48351624","352","2","48351861","352","239"
"Nr. 2, 2. bind. Fra Nordsøen 1846","259094","48351862","352","240","48351974","352","352"
"Nr. 2, 3. bind. Fra Nordsøen 1846","259095","48351975","352","353","48352115","352","493"
"Nr. 2, 4. bind. Fra Nordsøen 1846","259096","48352116","352","494","48352285","352","663"
"Nr. 2, 5. bind. Fra Østersøen 1846","259097","48352286","353","2","48352499","353","215"
"Nr. 2, 6. bind. Fra Østersøen 1846","259098","48352500","353","216","48352719","353","435"
"Nr. 2, 7. bind. Fra Østersøen 1846","259099","48352720","353","436","48352951","353","667"
"Nr. 2, 8. bind. Fra Østersøen 1846","259100","48352952","354","2","48353204","354","254"
"Nr. 2, 9. bind. Ballast 1846","259101","48353205","354","255","48353304","354","354"
"Nr. 2, 10. bind. Ballast 1846","259102","48353305","354","355","48353386","354","436"
"Nr. 2, 1. bind. Fra Nordsøen 1847","259103","48353387","354","437","48353626","354","676"
"Nr. 2, 1. bind. Fra Nordsøen 1847","259104","48353627","355","2","48353670","355","45"
"Nr. 2, 2. bind. Fra Nordsøen 1847","259105","48353671","355","46","48353806","355","181"
"Nr. 2, 3. bind. Fra Nordsøen 1847","259106","48353807","355","182","48353961","355","336"
