polity_name,source,layer_year,entity_area_name,truhart_id,SUM_IAC_all,SUM_Inter_state,SUM_Intra_state,SUM_HYDE_pop,mean_elevation,mean_open_terrain,inner_asia_border_dist,landform,warm_water_coast
,,1700,Tatar Khanate,16.271,1,2,0,305796.8285,89.57296204,0.875255624,0,Continent,1
Lithuania,Euratlas 1300,1300,Lithuania,16.436,,,,154427.9074,165.6462918,0,231.2941006,Continent,1
Lithuania,Euratlas 1400,1400,Lithuania,16.436,0,1,0,1268046.104,165.6462918,0.030313923,0,Continent,1
Lithuania,Euratlas 1500,1500,Lithuania,16.436,0,9,2,1747860.815,165.6462918,0.075283535,0,Continent,1
Poland,Euratlas 1000,1000,Poland I,16.522,0,0,1,862390.201,189.1442582,0,292.127575,Continent,1
Poland,Euratlas 1100,1100,Wielkopolska,16.523,0,1,0,841233.1256,151.7580183,0,313.0973589,Continent,0
Greater Poland,Euratlas 1200,1200,Wielkopolska,16.523,,,,126669.9098,151.7580183,0,621.037459,Continent,0
,,1100,Malopolska,16.524,,,,176754.5055,246.1864167,0,415.2344618,Continent,0
Lesser Poland,Euratlas 1200,1200,Malopolska,16.524,2,2,0,333974.8985,246.1864167,0,312.3586543,Continent,0
(Cracow),Euratlas 1300,1300,Malopolska,16.524,,,,560245.4191,246.1864167,0,297.3333692,Continent,0
,,1000,Mazowsze,16.525,,,,139988.0312,130.5139617,0,379.8555191,Continent,0
Masovia,Euratlas 1200,1200,Mazowsze,16.525,,,,262995.8338,130.5139617,0,372.5363503,Continent,0
Mazovia,Euratlas 1300,1300,Mazowsze,16.525,,,,385130.751,130.5139617,0,394.9628494,Continent,0
(Mazovia),Euratlas 1400,1400,Mazowsze,16.525,,,,429777.4575,130.5139617,0,150.7205122,Continent,0
(Mazovia),Euratlas 1500,1500,Mazowsze,16.525,,,,284023.7496,130.5139617,0,407.340549,Continent,0
Poland,Euratlas 1400,1400,Poland,16.551,0,0,1,1215748.002,181.995387,0,369.067364,Continent,0
Poland,Euratlas 1500,1500,Poland,16.551,0,2,0,2459622.338,181.995387,0.021093218,0,Continent,1
Poland,Euratlas 1600,1600,Poland,16.551,6,46,11,5739132.023,181.995387,0.000131199,0,Continent,1
Poland,Euratlas 1700,1700,Poland,16.551,0,23,12,8042937.296,181.995387,0.058798899,0,Continent,1
,"Transylvania: GADM 1st Order Alba, Bistrita-Nasaud, Brasov, Cluj, Covasna, Harghita, Hunedoara, Mures, Sibiu",1400,Transsylvania,16.625,0,1,0,217982.4154,628.3567623,0,19.1663462,Continent,0
,"Transylvania: GADM 1st Order Alba, Bistrita-Nasaud, Brasov, Cluj, Covasna, Harghita, Hunedoara, Mures, Sibiu",1500,Transsylvania,16.625,0,2,1,545130.8407,628.3567623,0,16.22617594,Continent,0
(Transylvania),Euratlas 1600,1600,Transsylvania,16.625,0,5,2,577631.5516,628.3567623,0,20.83150844,Continent,0
Hungary,Euratlas 1000,1000,Magyar Kingdom,16.631,1,1,0,666485.2256,323.1084363,0,234.0986874,Continent,0
Hungary,Euratlas 1100,1100,Magyar Kingdom,16.631,,,,1370912.185,323.1084363,0,121.6408267,Continent,0
Hungary,Euratlas 1200,1200,Magyar Kingdom,16.631,1,2,0,3229664.443,323.1084363,0,121.7824926,Continent,1
Hungary,Euratlas 1300,1300,Magyar Kingdom,16.631,,,,3049587.077,323.1084363,0,52.95118316,Continent,1
Austria,Droysens (1886),1100,Ostarrichi,16.722,,,,248700.2796,589.5931381,0,699.1702725,Continent,0
Austria,Droysens (1886),1200,Ostarrichi,16.722,0,2,0,606876.5118,589.5931381,0,699.1702725,Continent,0
Austria,Droysens (1886) time of the Hohenstaufen Emperors,1300,Osterreich,16.735,0,1,0,1256088.591,516.6685818,0.001254705,699.1702725,Continent,0
Austria,Droysens (1886) 14th century,1400,Osterreich,16.735,0,8,2,3431296.384,516.6685818,0.00041365,103.600879,Continent,1
Habsburgs,Droysens (1886) 1517,1500,Osterreich,16.735,0,0,2,2033894.814,516.6685818,0.005678233,699.1702725,Continent,1
Habsburgs,Euratlas 1600,1600,Osterreich,16.735,0,17,1,7057942.476,516.6685818,0.001843129,194.0935127,Continent,1
Habsburg,Euratlas 1700,1700,Osterreich,16.735,0,33,3,9694150.268,516.6685818,0.002475248,24.14930987,Continent,1
Habsburgs,Euratlas 1800,1800,Osterreich,16.735,,,,13492029.24,516.6685818,0.003510452,18.5115527,Continent,1
Bohemia,Droysens (1886),1000,Bohemia (Dukes),16.818,,,,815690.2759,450.3174962,0.00075188,603.0945135,Continent,0
Bohemia,Droysens (1886),1100,Bohemia (Dukes),16.818,,,,595219.9287,450.3174962,0.001098901,703.3502727,Continent,0
Bohemia,Droysens (1886),1200,Bohemia (Dukes),16.82,,,,894517.5032,450.3174962,0.000993049,703.3502727,Continent,0
Bohemia,Droysens (1886) time of the Hohenstaufen Emperors,1300,Bohemia (Kingdom),16.82,0,0,1,1521700.764,343.8869432,0.000670691,615.4139789,Continent,0
Bohemia,Droysens (1886) 14th century,1400,Bohemia (Kingdom),16.82,0,0,19,1392231.368,343.8869432,0.001425517,516.7884777,Continent,0
Bohemia,Droysens (1886) 1517,1500,Bohemia (Kingdom),16.82,0,18,0,5295992.015,343.8869432,0.000333778,103.600879,Continent,1
Franken,Droysens (1886),1000,Holy Roman Empire,16.913,0,0,3,1285130.135,307.6512265,0,1058.442377,Continent,1
Franken,Droysens (1886),1100,Holy Roman Empire,16.913,0,0,1,1401048.98,307.6512265,0,1058.442377,Continent,1
Holy Roman Empire,,1200,Holy Roman Empire,16.913,,,,659386.9573,307.6512265,0,1420.291462,Continent,0
Holy Roman Empire,Droysens (1886) time of the Hohenstaufen Emperors,1300,Holy Roman Empire,16.913,,,,1114052.646,307.6512265,0,1128.156727,Continent,0
,,1400,Holy Roman Empire,16.913,0,1,0,172728.4916,307.6512265,0,1189.790605,Continent,0
Holy Roman Empire,Droysens (1886) time of the Hohenstaufen Emperors,1500,Holy Roman Empire,16.913,0,0,4,679390.2727,307.6512265,0,1189.790605,Continent,1
Lothringen Duchy,Droysens (1886) 1618,1600,Holy Roman Empire,16.913,0,1,0,608421.8173,307.6512265,0,1382.416036,Continent,0
Lothringen Duchy,Droysens (1886) 18th century,1700,Holy Roman Empire,16.913,0,2,0,549920.8003,307.6512265,0,1384.02093,Continent,0
Valdez Principality,"Droysens (1886) 1789',Euratlas 1800,Geacron 1800",1800,Holy Roman Empire,16.913,,,,10926.77621,307.6512265,0,1260.49558,Continent,0
Bedrhein County,Droysens (1886) time of the Hohenstaufen Emperors,1300,Kur-Pfalz,17.421,,,,37790.82599,324.9449872,0,1297.393255,Continent,0
Palatinate,Droysens (1886) 14th century,1400,Kur-Pfalz,17.421,,,,154012.8835,324.9449872,0,1006.317744,Continent,0
Palatinate,Droysens (1886) 1517,1500,Kur-Pfalz,17.421,0,0,1,242020.5655,324.9449872,0,1006.317744,Continent,0
Palatinate,Droysens (1886) 1618,1600,Kur-Pfalz,17.421,0,2,1,278588.1235,324.9449872,0,1006.317744,Continent,0
Palatinate,Droysens (1886) 18th century,1700,Kur-Pfalz,17.421,0,9,0,637698.5309,324.9449872,0,1273.554921,Continent,0
Holy Roman Empire,Droysens (1886),1200,Mark Brandenburg,17.693,,,,290150.6091,70.66071192,0,814.8974773,Continent,0
Brandenburg,Droysens (1886) time of the Hohenstaufen Emperors,1300,Mark Brandenburg,17.693,,,,562042.5114,70.66071192,0,786.6793588,Continent,0
Brandenburg,Droysens (1886) 14th century,1400,Mark Brandenburg,17.693,,,,287080.2662,70.66071192,0,825.889702,Continent,0
Brandenburg,Droysens (1886) 1517,1500,Mark Brandenburg,17.693,,,,449601.5707,70.66071192,0.001481481,811.994226,Continent,0
Brandenburg,Droysens (1886) 1618,1600,Mark Brandenburg,17.693,0,5,0,641758.7861,70.66071192,0.00125,794.5597298,Continent,1
Brandenburg-Prussia,Droysens (1886) 18th century,1700,Mark Brandenburg,17.693,0,12,0,2064929.662,70.66071192,0.000502513,504.5065932,Continent,1
