city_id,region_id,name,name_alt,name_foreign,nat,latitude,longitude,author
3054,3,Ruegenwalde,Ruegenwalde,Darlowo,PO,54.422222,16.411112,Karl Rosenow
3055,3,Rummelsburg i. Pomm.,Rummelsburg i. Pomm.,Miastko,PO,53.999722,16.976389,Emil Gohrbandt
3056,3,Schivelbein,Schivelbein,Swidwin,PO,53.766666,15.783334,Ludwig Kortlepel
3057,3,Schlawe,Schlawe,Slawno,PO,54.349998,16.666666,Lange
3058,3,Schlochau,Schlochau,Czluchow,PO,53.650002,17.366667,Dr. Hans Schmitz
3059,3,Schloppe,Schloppe,Czlopa,PO,53.083332,16.1,Dr. Hans Schmitz
3060,3,Schneidemuehl,Schneidemuehl,Pila,PO,53.150002,16.733334,Dr. Hans Schmitz
3061,3,Schoenlanke,Schoenlanke,Trzcianka,PO,53.033333,16.466667,Dr. Hans Schmitz
3062,3,Stargard in Pommern,Stargard,Stargard,PO,53.336945,15.046667,Otto Neumann
3063,3,Stepenitz,Stepenitz,Stepnica,PO,53.650002,14.616667,
3064,3,Stettin,Stettin,Szczecin,PO,53.424721,14.555278,Dr. Wilhelm Braun
3065,3,Stettin-Altdamm,Altdamm,Dabie,PO,53.395,14.665,
3066,3,Stettin-Grabow,Stettin-Grabow,Grabowo,PO,53.433334,14.583333,
3067,3,Stettin-Poelitz,Stettin-Poelitz,Police,PO,53.549999,14.570833,Dr. Franz Engel
3068,3,Stolp,Stolp,Slupsk,PO,54.46611,17.030834,Dr. Martin Thilo
3069,3,Stramehl,Stramehl,Strzmiele,PO,53.65139,15.525833,
3070,3,Swinemuende,Swinemuende,Swinoujscie,PO,53.916668,14.25,Robert Burkhardt
3071,3,Tankow,Tankow,Dankow,PO,52.933334,15.35,
3072,3,Tempelburg,Tempelburg,Czaplinek,PO,53.549999,16.233334,Reinke
3073,3,Treptow (Rega),Treptow (Rega),Trzebiatow,PO,54.063889,15.266666,Johannes von Malotki
3074,3,Tuetz,Tuetz,Tuczno,PO,53.183334,16.15,Dr. Hans Schmitz
3075,3,Wangerin,Wangerin,Wegorzyno,PO,53.536945,15.5575,Ferdinand Brehmer
3076,3,Werben (Pommern),Werben,Wierzbno,PO,53.233055,14.9125,
3077,3,Woldenberg (Neumark),Woldenberg (Neumark),Dobiegniew,PO,52.966667,15.75,Dr. Hugo Rachel
3078,3,Wollin,Wollin,Wolin,PO,53.843334,14.615556,Holtz
3079,3,Zachan,Zachan,Suchan,PO,53.279446,15.318055,Otto Neumann
3080,3,Zanow,Zanow,Sianow,PO,54.227779,16.291666,Richard Maske
4001,4,Boizenburg,Boizenburg/Elbe,,,53.374168,10.7225,Dr. Wolf  Struck
