cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,staple_year,fair_year
223,Bergamo,Italy,45.7,9.72,243,land mediterranean,False,True,7000.0,10000.0,14000.0,9000.0,18000.0,0,0,1,0,0,0,1,,
225,Bergen op Zoom,Netherlands,51.5,4.28,10,north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,0,1,0,1388.0,1337.0
226,Bergerac,France,44.85,0.48,12,river north sea,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,,
227,Bergisch-Gladbach,Germany,51.0,7.13,100,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,,
228,Bergues,France,50.97,2.43,1,land north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
229,Berlin,Germany,52.52,13.4,35,river north sea,True,True,2000.0,3000.0,4000.0,5000.0,9000.0,1,0,0,0,0,1,0,1337.0,1400.0
230,Bern,Switzerland,46.95,7.43,536,river north sea,True,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
231,Bernay,France,49.1,0.6,87,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,
232,Bernburg,Germany,51.8,11.73,85,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,3000.0,1,0,0,0,0,1,0,,
234,Besancon,France,47.25,6.03,262,river mediterranean,False,True,6000.0,7000.0,10000.0,6000.0,9000.0,1,0,0,0,0,0,1,,
235,Bethune,France,50.53,2.63,18,land north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,,
236,Beveren,Belgium,51.22,4.25,12,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,
238,Beziers,France,43.35,3.25,53,river mediterranean,False,True,3000.0,4000.0,6000.0,4000.0,6000.0,1,0,0,0,0,0,1,,
239,Bialystok,Poland,53.15,23.15,120,land baltic,False,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,1,0,0,,
240,Biancavilla,Italy,37.63,14.87,513,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,0,1,,
241,Biberach,Germany,48.1,9.97,238,river black sea,True,True,1000.0,2000.0,2000.0,1000.0,3000.0,1,0,0,0,0,0,0,,
