cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1200,pop1300,pop1400,pop1500,pop1600,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l1200,l1300,l1400,l1500,l1600,g_crash,g_recov
570,Dour,Belgium,50.4,3.78,93,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.0,0.0
575,Dresden,Germany,51.05,13.73,111,river north sea,True,True,1000.0,5000.0,4000.0,5000.0,12000.0,1,0,0,0,0,1,0,6.907755278982137,8.517193191416238,8.294049640102028,8.517193191416238,9.392661928770137,-0.2231435513142106,0.2231435513142106
582,Dueren,Germany,50.8,6.5,125,river north sea,True,True,3000.0,3000.0,2000.0,3000.0,4000.0,1,0,0,0,0,1,0,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,8.294049640102028,-0.4054651081081637,0.4054651081081637
583,Duesseldorf,Germany,51.2,6.78,37,river north sea,True,True,1000.0,2000.0,2000.0,2000.0,5000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,7.600902459542082,7.600902459542082,8.517193191416238,0.0,0.0
584,Duisburg,Germany,51.42,6.77,33,river north sea,True,True,1000.0,1000.0,1000.0,2000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,0.0,0.6931471805599454
595,Edam,Netherlands,52.55,5.03,1,north sea,True,True,1000.0,2000.0,1000.0,4000.0,5000.0,0,1,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,8.294049640102028,8.517193191416238,-0.6931471805599454,1.3862943611198908
596,Ede,Netherlands,52.03,5.67,30,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.0,0.0
599,Eeklo,Belgium,51.18,3.57,6,land north sea,True,True,1000.0,3000.0,2000.0,2000.0,4000.0,0,0,1,0,0,1,0,6.907755278982137,8.006367567650246,7.600902459542082,7.600902459542082,8.294049640102028,-0.4054651081081637,0.0
601,Eichstaett,Germany,48.9,11.22,393,river black sea,True,True,2000.0,2000.0,1000.0,2000.0,3000.0,1,0,0,0,0,0,0,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,8.006367567650246,-0.6931471805599454,0.6931471805599454
602,Eilenburg,Germany,51.45,12.62,106,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.0,0.0
603,Einbeck,Germany,51.82,9.87,112,land north sea,True,True,1000.0,2000.0,3000.0,7000.0,4000.0,0,0,1,0,0,1,0,6.907755278982137,7.600902459542082,8.006367567650246,8.85366542803745,8.294049640102028,0.4054651081081637,0.8472978603872043
604,Eindhoven,Netherlands,51.43,5.47,17,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,0.0,0.0
605,Eisenach,Germany,50.98,10.32,215,river north sea,True,True,1000.0,2000.0,1000.0,4000.0,5000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,8.294049640102028,8.517193191416238,-0.6931471805599454,1.3862943611198908
606,Eisenstadt,Austria,47.85,16.53,182,river black sea,True,True,1000.0,2000.0,1000.0,2000.0,3000.0,1,0,0,0,0,0,0,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,8.006367567650246,-0.6931471805599454,0.6931471805599454
607,Eisleben,Germany,51.52,11.53,114,river north sea,True,True,2000.0,4000.0,4000.0,9000.0,8000.0,1,0,0,0,0,1,0,7.600902459542082,8.294049640102028,8.294049640102028,9.104979856318357,8.987196820661973,0.0,0.8109302162163292
610,Elberfeld,Germany,51.27,7.13,210,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.0,0.0
