city_id,year,old_terr,new_terr,old_type,new_type,type_change,foreign_rule
7048,1370,0B0082,L339,noble,noble,5,B316
7048,1437,L339,H010,noble,noble,9,B316
7048,1457,H010,0P0046,noble,noble,3,B316
7048,1471,0P0046,0J0012,noble,noble,3,U034
7048,1479,0J0012,0H0071,noble,noble,7,B316
7048,1490,0H0071,0J0012,noble,noble,7,B316
7048,1525,0J0012,H0101,noble,noble,3,B316
7048,1619,H0101,H0103,noble,noble,3,B316
7048,1635,H0103,A060,noble,noble,3,
7048,1657,A060,S039,noble,noble,3,
7048,1738,S039,A060,noble,noble,3,
7049,1320,B374,W400,noble,noble,3,
7049,1348,W400,1F0001,noble,noble,3,
7049,1350,1F0001,W400,noble,noble,3,
7049,1351,W400,0B0082,noble,noble,3,
7049,1373,0B0082,L339,noble,noble,3,
7049,1409,L339,Q008,noble,noble,5,
7049,1417,Q008,A1620,noble,unknown,5,
7049,1440,A1620,B3741,unknown,noble,0,
7049,1471,B3741,A1620,noble,unknown,0,
7049,1486,A1620,B3742,unknown,noble,0,
7050,1304,M136,B374,church,noble,5,
7050,1316,B374,N124,noble,noble,5,
7050,1370,N124,L339,noble,noble,9,B316
7050,1406,L339,N124,noble,noble,0,
7050,1635,N124,A060,noble,noble,0,
7050,1657,A060,S039,noble,noble,0,
7050,1738,S039,A060,noble,noble,0,
7051,1320,L102,W400,noble,noble,3,
7051,1348,W400,1F0001,noble,noble,3,
7051,1350,1F0001,L102,noble,noble,3,
7051,1445,L102,D063,noble,church,5,
7051,1454,D063,0U0001,church,unknown,0,
7051,1473,0U0001,J028,unknown,church,0,
7051,1535,J028,0K0033,church,noble,11,
7051,1571,0K0033,B3742,noble,noble,3,
7052,1320,B374,W400,noble,noble,3,
7052,1348,W400,1F0001,noble,noble,0,
7052,1350,1F0001,W400,noble,noble,0,
7052,1351,W400,0B0082,noble,noble,0,
7052,1354,0B0082,L102,noble,noble,0,
7052,1474,L102,A1620,noble,unknown,0,
7052,1486,A1620,B3742,unknown,noble,0,
7053,1348,W400,1F0001,noble,noble,0,
7053,1350,1F0001,W400,noble,noble,0,
7053,1351,W400,0B0082,noble,noble,0,
7053,1373,0B0082,L339,noble,noble,5,
7053,1417,L339,A1620,noble,unknown,5,
7053,1440,A1620,B3741,unknown,noble,5,
7053,1471,B3741,A1620,noble,unknown,5,
7053,1486,A1620,B3742,unknown,noble,5,
7054,1304,W2890,B374,unknown,noble,5,
7054,1320,B374,W400,noble,noble,3,
7054,1348,W400,1F0001,noble,noble,0,
7054,1350,1F0001,W400,noble,noble,0,
7054,1351,W400,0B0082,noble,noble,0,
7054,1370,0B0082,L339,noble,noble,9,B316
7054,1437,L339,H010,noble,noble,3,B316
7054,1457,H010,0P0046,noble,noble,3,B316
7054,1471,0P0046,0J0012,noble,noble,3,U034
7054,1479,0J0012,0H0071,noble,noble,3,B316
7054,1490,0H0071,0J0012,noble,noble,3,B316
7054,1525,0J0012,H0101,noble,noble,0,B316
7054,1619,H0101,H0103,noble,noble,0,B316
7054,1635,H0103,A060,noble,noble,0,
7054,1657,A060,S039,noble,noble,0,
7054,1738,S039,A060,noble,noble,0,
7055,1320,B374,W400,noble,noble,3,
7055,1348,W400,1F0001,noble,noble,0,
7055,1350,1F0001,W400,noble,noble,0,
7055,1351,W400,0B0082,noble,noble,0,
7055,1354,0B0082,L102,noble,noble,0,
