terr_id,terr_name,ruler_type,subtype
M017,Mähren (Markgrafschaft; Markgrafentum),noble,margraviate
M018,Maienfeld (Land),noble,family_line
M019,Maienfels (reichsritterschaftliche Burg),noble,knight_lord
M020,Maienfels; Mayenfels (Reichsritter),noble,knight_lord
M021,Maiental,noble,family_line
M022,Mailand (Stadtkommune),noble,family_line
M023,Mainau (Kommende des Deutschen Ordens),church,military_order
M024,Mainberg (Herrschaft),noble,lordship
M025,Mainbernheim (Reichsdorf),noble,family_line
M026,Maingau (Moynichgouue…),noble,family_line
M027,Mainz (Erzstift),church,archbishopric
M028,Mainz (freie Stadt des Reiches),self,imperial_city
M029,Mainz (Republik),noble,republic
M030,Mainz; Dompropstei (Reichsritterschaft),church,monastery_chapter
M031,Mairhofen,noble,family_line
M032,Malaspina (Reichsfürst),noble,principality
M033,Malberg (Herren),noble,family_line
M034,Malerseck; Seck? (Reichsritter),noble,knight_lord
M035,Malgrate (Markgrafschaft),noble,margraviate
M036,Malmedy (gefürstete Abtei),church,monastery_chapter
M037,Malteserorden,church,military_order
M038,Manderscheid (Herren),noble,family_line
M039,Manderscheid-Blankenheim (Reichsgrafschaft),noble,county
M040,Manderscheid-Gerolstein (Grafen),noble,county
M041,Manderscheid-Kail,noble,family_line
M042,Manderscheid-Kerpen,noble,family_line
M043,Manderscheid-Schleiden (Grafen),noble,county
M044,Mannheim (Stadt),noble,family_line
M045,Mansbach (reichsritterschaftliche Herrschaft),noble,knight_lord
M046,Mansbach; Mannsbach (Reichsritter),noble,knight_lord
M047,Mansfeld (Grafen; Grafschaft),noble,county
M048,Mansfeld (Reichsritter),noble,knight_lord
M049,Mansfeld-Bornstedt,noble,family_line
M050,Manteuffel (Reichsgrafen),noble,county
M051,Mantua (Stadtkommune),noble,family_line
M052,Marahafeld (Marchfeld),noble,family_line
M053,Marburg (Burg),noble,family_line
M054,Marchtal (reichsunmittelbare Abtei),church,monastery_chapter
M055,Margaretenhausen,noble,family_line
M056,Margrethausen; Margaretenhausen (Kloster),church,monastery_chapter
M057,Mariaberg (Kloster),church,monastery_chapter
M058,Mariaburghausen; Kloster (Reichsritter),church,monastery_chapter
M059,Marienberg (Kloster),church,monastery_chapter
M060,Marienborn,noble,family_line
M061,Marienschloss (Kloster),church,monastery_chapter
M062,Marienstern (Kloster),church,monastery_chapter
M063,Marioth zu Langenau (Freiherren; Reichsritter),noble,knight_lord
M064,Mark (Grafschaft),noble,county
M065,Markgröningen (Herrschaft; Reichsstadt),self,imperial_city
M066,Markt Taschendorf,noble,family_line
M067,Marktbiberach (Herrschaft),noble,lordship
M068,Marktbissingen (reichsritterschaftliche Herrschaft),noble,knight_lord
M069,Markttischingen,noble,family_line
M070,Marlborough (Reichsfürst) (John Churchill),noble,principality
M071,Marlenheim (Herrschaft),noble,lordship
M072,Marschalk (Reichsritter),noble,knight_lord
M073,Marschalk genannt Greif zu Erlebach (Reichsritter),noble,knight_lord
M074,Marschalk von Ebneth (Kunstadt),noble,family_line
M075,Marschalk von Ostheim (zu Marisfeld),noble,family_line
M076,Marschalk von Pappenheim,noble,family_line
M077,Marschalk von Raueneck,noble,family_line
M078,Marschall,noble,family_line
M079,Marsilien,noble,family_line
M080,Marspach,noble,family_line
M081,Marstem (Marstiem; Merstem),noble,family_line
M082,Marstetten (Grafschaft),noble,county
M083,Marstetten (Herrschaft),noble,lordship
M084,Marstetten-Neuffen,noble,family_line
M085,Marsum,noble,family_line
M086,Martinstein (Ganerbschaft),noble,family_line
M087,Masaland,noble,family_line
M088,Masao (Maasgau),noble,family_line
M089,Masbach (Reichsritter),noble,knight_lord
M090,Massa (Herrschaft),noble,lordship
M091,Massa und Carrara,noble,family_line
M092,Maßbach (Reichsritter),noble,knight_lord
M093,Massenbach (Freiherren),noble,knight_lord
M094,Matfeld,noble,family_line
M095,Mathildische Güter (umstrittene Reichsguter),noble,family_line
M096,Mattersdorf (Grafen),noble,county
M097,Mattiggau (Matuggouuua; Matihgowe),noble,family_line
M098,Mattsee (Herrschaft),noble,lordship
M099,Mauchenheim genannt Bechtolsheim (Freiherren),noble,knight_lord
M100,Mauerstetten (Herrschaft),noble,lordship
M101,Maulachgau (Mulahgouue),noble,family_line
M102,Maulbronn (Kloster),church,monastery_chapter
M103,Maursmünsterer Mark; Moresmarcha. Marca Aquilejensis,noble,family_line
M104,Maxlrain (Herrschaft),noble,lordship
M105,Mayenberg (Reichsritter),noble,knight_lord
M106,Mayenfels,noble,family_line
M107,Mayenthal (Reichsritter),noble,knight_lord
M108,Mayerhofer (Reichsritter),noble,knight_lord
M109,Mecheln (Herrschaft),noble,lordship
M110,Mecherer (Reichsritter),noble,knight_lord
M111,Mechernich (Reichsherrschaft),noble,lordship
M112,Mechitamulinero marcha,noble,family_line
M113,Mecinga,noble,family_line
M114,Mecklenburg(-Schwerin; ältere Linie) (Fürsten; Herzogtum),noble,duchy
M115,Mecklenburg-Güstrow (Herzogtum),noble,duchy
M116,Mecklenburg-Schwerin (Herzogtum) (jüngere Linie),noble,duchy
M117,Mecklenburg-Stargard (Fürsten),noble,principality
M118,Mecklenburg-Strelitz (Herzogtum),noble,duchy
M119,Mecklenburg-Vorpommern (Land),noble,family_line
M120,Medelsheim,noble,family_line
M121,Medenenti; pagus Medelentinsis; Melanthois,noble,family_line
M122,Medole,noble,family_line
M123,Meerfeld,noble,family_line
M124,Meerholz,noble,family_line
M125,Megenzer von Felldorf,noble,family_line
M126,Mehr,noble,family_line
M127,Meiderich,noble,family_line
M128,Meinefelt (Meiniueld; Meinifelt; Moeniuelt; Meinefeld. Meinuelt,noble,family_line
M129,Meinerzhagen; Meinertzhagen,noble,family_line
M130,Meinhardiner,noble,family_line
M131,Meiningen (Herrschaft),noble,lordship
M132,Meiningen (Reichsritter),noble,knight_lord
M133,Meisenburg; Meysenburg; Meisenbach,noble,family_line
M134,Meisenheim,noble,family_line
M135,Meißen (Burggrafschaft),noble,burgraviate
M136,Meißen (Hochstift),church,bishopric
M137,Meißen (Markgrafschaft),noble,margraviate
M138,Meitamulin,noble,family_line
M139,Melbach,noble,family_line
M140,Meldegg,noble,family_line
M141,Meli-Lupi,noble,family_line
M142,Memelgebiet; Memelland,noble,family_line
M143,Memelland,noble,family_line
M144,Memleben,noble,family_line
M145,Memmelsdorf,noble,family_line
M146,Memmingen,noble,family_line
M147,Mendel von Steinfels,noble,family_line
M148,Mendris,noble,family_line
M149,Mendrisio; Mendris,noble,family_line
M150,Mengen,noble,family_line
M151,Mengersdorf; Mengersdorff,noble,family_line
M152,Mengersreuth,noble,family_line
M153,Mensfelden,noble,family_line
M154,Menthor,noble,family_line
M155,Menzingen; Mentzingen,noble,family_line
M156,Meppen,noble,family_line
M157,Meppen-Arenberg,noble,family_line
M158,Meranien,noble,family_line
M159,Merchingen; Merckingen Ganerbschaft,noble,family_line
M160,Merderaland,noble,family_line
M161,Merenberg,noble,family_line
M162,Mergentheim,noble,family_line
M163,Merkingen,noble,family_line
M164,Merl,noble,family_line
M165,Merlach,noble,family_line
M166,Merlau,noble,family_line
M167,Merlau zu Münkheim,noble,family_line
M168,Merode,noble,family_line
M169,Mersburg,noble,family_line
M170,Merstem,noble,family_line
M171,Merxheim,noble,family_line
M172,Merz von Staffelfelden,noble,family_line
M173,Merzbach,noble,family_line
M174,Meschede,noble,family_line
M175,Mespelbrunn,noble,family_line
M176,Messkirch,noble,family_line
M177,Methingau,noble,family_line
M178,Methingouwe,noble,family_line
M179,Metsch (Freiherren; Reichsritter),noble,knight_lord
M180,Metsch (Grafen),noble,county
M181,Metternich,noble,family_line
M182,Metternich zur Gracht; Wolff-Metternich zur Gracht,noble,family_line
M183,Metz (freie Reichsstadt),self,imperial_city
M184,Metz (Hochstift; Fürstbistum),church,bishopric
M185,Metzgau,noble,family_line
M186,Meudt,noble,family_line
M187,Meyenburg,noble,family_line
M188,Meyer zu Osterberg,noble,family_line
M189,Meyern,noble,family_line
M190,Meysenbug,noble,family_line
M191,Mezumroka,noble,family_line
M192,Michelbach(Württemberg) (Herrschaft),noble,lordship
M193,Michelbach(Saarland) (Reichsdorf),noble,family_line
M194,Michelbergere marca,noble,family_line
M195,Michelstadt,noble,family_line
M196,Mickhausen; Mückenhausen; Mückhausen,noble,family_line
M197,Midahi,noble,family_line
M198,Milano,noble,family_line
M199,Milchling,noble,family_line
M200,Militsch,noble,family_line
M201,Millendonk; Myllendonk; Mylendonk,noble,family_line
M202,Milz,noble,family_line
M203,Milzane,noble,family_line
M204,Mindelheim,noble,family_line
M205,Minden,noble,family_line
M206,Minderslachen (Reichsdorf),noble,family_line
M207,Mindilriet ,noble,family_line
M208,Minfeld,noble,family_line
M209,Minkwitz,noble,family_line
M210,Mintga,noble,family_line
M211,Mirandola,noble,family_line
M212,Mistek,noble,family_line
M213,Mistelbach; Mistelbeck,noble,family_line
M214,Mittelburg,noble,family_line
M215,Mittelrheinstrom,noble,family_line
M216,Mittenwald,noble,family_line
M217,Mitterburg,noble,family_line
M218,Mock von Balgheim,noble,family_line
M219,Mock; Möckh,noble,family_line
M220,Modena,noble,family_line
M221,Modena-Breisgau,noble,family_line
M222,Modena-Reggio,noble,family_line
M223,Modschiedel; Modschiedl; Motschider; Mutschiller; Mudschiller;  Madschiller,noble,family_line
M224,Moers; Mörs,noble,family_line
M225,Moers-Saarwerden,noble,family_line
M226,Moguntiacensis pagus; mainzagu,noble,family_line
M227,Mohrenfels,noble,family_line
M228,Mohrenhausen,noble,family_line
M229,Möhringen,noble,family_line
M230,Moilla,noble,family_line
M231,Moinahgouwe,noble,family_line
M232,Moiniwidiun,noble,family_line
M233,Molsberg (Herrschaft),noble,lordship
M234,Molsberg (Reichsritter),noble,knight_lord
M235,Moltbizi,noble,family_line
M236,Mommenheim,noble,family_line
M237,Mömpelgrad,noble,family_line
M238,Monaco,noble,family_line
M239,Mondovi,noble,family_line
M240,Mondsee,noble,family_line
M241,Monschau,noble,family_line
M242,Montbeliard,noble,family_line
M243,Montecuccoli,noble,family_line
M244,Montferrat,noble,family_line
M245,Montfort,noble,family_line
