cid,city,country,lat,lon,in_hre,in_cne,city_id,name_loc
1410,Oppenheim,Germany,49.85,8.35,True,True,18073,Oppenheim
1431,Osnabrueck,Germany,52.27,8.03,True,True,12092,Osnabrueck
1444,Paderborn,Germany,51.72,8.75,True,True,13117,Paderborn
1468,Passau,Germany,48.58,13.47,True,True,23112,Passau
1503,Pforzheim,Germany,48.9,8.7,True,True,20031,Pforzheim
1512,Pirmasens,Germany,49.2,7.6,True,True,18076,Pirmasens
1513,Pirna,Germany,50.97,13.97,True,True,9113,Pirna
1521,Plauen,Germany,50.5,12.13,True,True,9115,Plauen
1554,Potsdam,Germany,52.4,13.07,True,True,7102,Potsdam
1561,Prenzlau,Germany,53.32,13.87,True,True,7104,Prenzlau
1583,Quedlinburg,Germany,51.8,11.15,True,True,11114,Quedlinburg
1588,Radevormwald,Germany,51.2,7.35,True,True,14088,Radevormwald
1598,Ravensburg,Germany,47.78,9.62,True,True,17041,Ravensburg
1602,Recklinghausen,Germany,51.58,7.2,True,True,13123,Recklinghausen
1604,Regensburg,Germany,49.02,12.1,True,True,23123,Regensburg
1607,Reichenbach,Germany,50.62,12.3,True,True,9122,Reichenbach i. V.
1609,Remscheid,Germany,51.18,7.18,True,True,14091,Remscheid
1610,Rendsburg,Germany,54.3,9.67,True,True,5041,Rendsburg
1617,Reutlingen,Germany,48.48,9.18,True,True,17042,Reutlingen
1619,Rheine,Germany,52.28,7.43,True,True,13125,Rheine
1620,Rheydt,Germany,51.3,6.45,True,True,14097,Rheydt
1648,Rostock,Germany,54.08,12.12,True,True,4037,Rostock
1652,Rothenburg ob der Tauber,Germany,49.38,10.17,True,True,22109,Rothenburg o. d. Tauber
1654,Rottenburg am Neckar,Germany,48.47,8.93,True,True,17045,Rottenburg
1674,Saarbruecken,Germany,49.23,6.98,True,True,19008,Alt-Saarbruecken
1675,Saarlouis,Germany,49.32,6.75,True,True,19012,Saarlouis
1692,Salzgitter,Germany,52.15,10.4,True,True,12109,Salzgitter
1693,Salzwedel,Germany,52.86,11.15,True,True,11121,Salzwedel
1736,Schleswig,Germany,54.52,9.55,True,True,5042,Schleswig
1738,Schneeberg,Germany,50.6,12.63,True,True,9133,Schneeberg
1739,Schorndorf,Germany,48.8,9.55,True,True,16074,Schorndorf
1740,Schwabach,Germany,49.47,11.02,True,True,22118,Schwabach
1741,Schwaebisch Gmuend,Germany,48.82,9.8,True,True,16075,Schwaebisch Gmuend
1742,Schwaebisch Hall,Germany,49.12,9.73,True,True,16076,Schwaebisch Hall
