city_id,name,lat,lon,nodesid,lat_band_1250,lat_band_1300,lat_band_1350,lat_band_1400,lat_band_1450,lat_band_1500,dist_river_km_1250,dist_river_km_1300,dist_river_km_1350,dist_river_km_1400,dist_river_km_1450,dist_river_km_1500,elev_m_1250,elev_m_1300,elev_m_1350,elev_m_1400,elev_m_1450,elev_m_1500,population_1250,population_1300,population_1350,population_1400,population_1450,population_1500,pop_growth_50yr_1250,pop_growth_50yr_1300,pop_growth_50yr_1350,pop_growth_50yr_1400,pop_growth_50yr_1450,pop_growth_50yr_1500,agricultural_surplus_score_1250,agricultural_surplus_score_1300,agricultural_surplus_score_1350,agricultural_surplus_score_1400,agricultural_surplus_score_1450,agricultural_surplus_score_1500
14080,Neviges,51.310833,7.0888891,,middle,middle,middle,middle,middle,middle,14.9,14.9,14.9,14.9,14.9,14.9,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14081,Nideggen,50.690834,6.4850001,,middle,middle,middle,middle,middle,middle,42.0,42.0,42.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14082,Oberhausen,51.484444,6.8733335,,middle,middle,middle,middle,middle,middle,6.5,6.5,6.5,6.5,6.5,6.5,42.0,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2,2,2,2,2,2
14083,Oberhausen-Holten,51.52861,6.793889,,north,north,north,north,north,north,7.3,7.3,7.3,7.3,7.3,7.3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14084,Oberhausen-Osterfeld,51.500557,6.8833332,,north,north,north,north,north,north,8.4,8.4,8.4,8.4,8.4,8.4,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14085,Oberhausen-Sterkrade,51.516666,6.8463888,,north,north,north,north,north,north,9.2,9.2,9.2,9.2,9.2,9.2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14086,Opladen,51.06778,7.0027776,,middle,middle,middle,middle,middle,middle,7.9,7.9,7.9,7.9,7.9,7.9,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14087,Orsoy,51.523056,6.687222,,north,north,north,north,north,north,3.3,3.3,3.3,3.3,3.3,3.3,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14088,Radevormwald,51.203335,7.355,,middle,middle,middle,middle,middle,middle,36.7,36.7,36.7,36.7,36.7,36.7,421.0,421.0,421.0,421.0,421.0,421.0,500.0,1000.0,1000.0,1000.0,1000.0,1000.0,,2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
14089,Ratingen,51.296944,6.8494444,,middle,middle,middle,middle,middle,middle,7.7,7.7,7.7,7.7,7.7,7.7,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14090,Rees,51.759445,6.396111,6308.0,north,north,north,north,north,north,2.4,2.4,2.4,2.4,2.4,2.4,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14091,Remscheid,51.179722,7.1941667,,middle,middle,middle,middle,middle,middle,26.1,26.1,26.1,26.1,26.1,26.1,365.0,365.0,365.0,365.0,365.0,365.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
14092,Remscheid-Lennep,51.192501,7.2577777,,middle,middle,middle,middle,middle,middle,30.4,30.4,30.4,30.4,30.4,30.4,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14093,Remscheid-Luettringhausen,51.211945,7.2402778,,middle,middle,middle,middle,middle,middle,30.1,30.1,30.1,30.1,30.1,30.1,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14094,Rheinbach,50.626389,6.9469442,,middle,middle,middle,middle,middle,middle,16.7,16.7,16.7,16.7,16.7,16.7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14095,Rheinberg,51.544998,6.6025,,north,north,north,north,north,north,3.1,3.1,3.1,3.1,3.1,3.1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14096,Rheinhausen,51.407223,6.7119446,,middle,middle,middle,middle,middle,middle,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14097,Rheydt,51.165833,6.4411111,,middle,middle,middle,middle,middle,middle,18.1,18.1,18.1,18.1,18.1,18.1,70.0,70.0,70.0,70.0,70.0,70.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
14098,Schleiden,50.529999,6.4763889,,middle,middle,middle,middle,middle,middle,50.2,50.2,50.2,50.2,50.2,50.2,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14099,Siegburg,50.796391,7.2049999,7114.0,middle,middle,middle,middle,middle,middle,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14100,Solingen,51.171391,7.082778,,middle,middle,middle,middle,middle,middle,19.9,19.9,19.9,19.9,19.9,19.9,221.0,221.0,221.0,221.0,221.0,221.0,1500.0,2000.0,1500.0,1000.0,1000.0,1000.0,1.5,1.333,0.75,0.667,1.0,1.0,0,0,0,0,0,0
14101,Stolberg,50.771667,6.2272224,,middle,middle,middle,middle,middle,middle,37.4,37.4,37.4,37.4,37.4,37.4,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14102,Straelen,51.44278,6.2652779,,middle,middle,middle,middle,middle,middle,6.8,6.8,6.8,6.8,6.8,6.8,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14103,Suechteln,51.285557,6.3686113,,middle,middle,middle,middle,middle,middle,17.4,17.4,17.4,17.4,17.4,17.4,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14104,Velbert,51.34,7.041389,,middle,middle,middle,middle,middle,middle,10.3,10.3,10.3,10.3,10.3,10.3,230.0,230.0,230.0,230.0,230.0,230.0,2000.0,2000.0,1500.0,1000.0,1000.0,1000.0,1.0,1.0,0.75,0.667,1.0,1.0,2,2,2,2,2,2
14105,Viersen,51.252777,6.3933334,,middle,middle,middle,middle,middle,middle,20.5,20.5,20.5,20.5,20.5,20.5,41.0,41.0,41.0,41.0,41.0,41.0,500.0,1000.0,1000.0,1000.0,1500.0,2000.0,,2.0,1.0,1.0,1.5,1.333,0,0,0,0,0,0
14106,Wermelskirchen,51.140278,7.2180557,,middle,middle,middle,middle,middle,middle,24.9,24.9,24.9,24.9,24.9,24.9,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14107,Wesel,51.657223,6.6172223,8345.0,north,north,north,north,north,north,0.9,0.9,0.9,0.9,0.9,0.9,23.0,23.0,23.0,23.0,23.0,23.0,2500.0,3000.0,4500.0,6000.0,6000.0,6000.0,1.25,1.2,1.5,1.333,1.0,1.0,1,2,2,2,2,2
14108,Wevelinghoven,51.103611,6.6188889,,middle,middle,middle,middle,middle,middle,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14109,Wipperfuerth,51.116943,7.3986111,,middle,middle,middle,middle,middle,middle,35.7,35.7,35.7,35.7,35.7,35.7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14110,Wuelfrath,51.280834,7.0330558,,middle,middle,middle,middle,middle,middle,15.4,15.4,15.4,15.4,15.4,15.4,262.0,262.0,262.0,262.0,262.0,262.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
14111,Wuerselen,50.821388,6.1300001,,middle,middle,middle,middle,middle,middle,30.4,30.4,30.4,30.4,30.4,30.4,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14113,Wuppertal-Barmen,51.271946,7.1999998,,middle,middle,middle,middle,middle,middle,23.5,23.5,23.5,23.5,23.5,23.5,160.0,160.0,160.0,160.0,160.0,160.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
14114,Wuppertal-Beyenburg,51.250278,7.3011112,,middle,middle,middle,middle,middle,middle,30.6,30.6,30.6,30.6,30.6,30.6,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14115,Wuppertal-Cronenberg,51.205276,7.1302776,,middle,middle,middle,middle,middle,middle,24.2,24.2,24.2,24.2,24.2,24.2,100.0,100.0,100.0,100.0,100.0,100.0,1500.0,2000.0,1500.0,1000.0,1500.0,2000.0,1.5,1.333,0.75,0.667,1.5,1.333,0,0,0,0,0,0
14116,Wuppertal-Elberfeld,51.256111,7.1475,,middle,middle,middle,middle,middle,middle,22.2,22.2,22.2,22.2,22.2,22.2,210.0,210.0,210.0,210.0,210.0,210.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0
14117,Wuppertal-Ronsdorf,51.226112,7.1977777,,middle,middle,middle,middle,middle,middle,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14118,Wuppertal-Vohwinkel,51.230278,7.0688887,,middle,middle,middle,middle,middle,middle,20.9,20.9,20.9,20.9,20.9,20.9,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14119,Xanten,51.662224,6.4530554,8677.0,north,north,north,north,north,north,5.1,5.1,5.1,5.1,5.1,5.1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14120,Zons,51.120556,6.8497224,,middle,middle,middle,middle,middle,middle,6.2,6.2,6.2,6.2,6.2,6.2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14121,Zuelpich,50.69278,6.6516666,,middle,middle,middle,middle,middle,middle,31.6,31.6,31.6,31.6,31.6,31.6,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
15001,Alsfeld,50.750832,9.271389,147.0,middle,middle,middle,middle,middle,middle,36.2,36.2,36.2,36.2,36.2,36.2,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
