city_id,name,lat,lon,year,trade_access_continuous,trade_access_score,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,has_own_staple,on_trade_route,trade_access_source
12088,Nordhorn,52.437778,7.0702777,1400,4.5567,2,5.3,0.086,12.162,16,0,1,viabundus
12023,Buxtehude,53.475834,9.6986113,1550,4.5566,2,5.309,0.084,0.167,16,0,1,viabundus
12029,Delmenhorst,53.049721,8.6338892,1650,4.5566,2,11.442,0.226,0.453,20,0,1,viabundus
15114,Rotenburg a. d. Fulda,50.996387,9.7244444,1650,4.5554,2,3.505,0.108,24.642,15,0,1,viabundus
13095,Luebbecke,52.303333,8.6172218,1600,4.5536,2,20.975,1.135,20.39,29,0,1,viabundus
13097,Luedinghausen,51.768333,7.4441667,1450,4.5535,2,11.445,0.319,13.185,20,0,1,viabundus
5051,Wilster,53.922501,9.374444,1500,4.5519,2,1.245,3.068,0.0,16,0,1,viabundus
11051,Groebzig,51.682499,11.874722,1550,4.5518,2,10.555,1.97,7.284,21,0,1,viabundus
11093,Luetzen,51.255833,12.141111,1500,4.5513,2,16.981,0.171,13.288,24,0,1,viabundus
12124,Uslar,51.65889,9.6344442,1350,4.5512,2,7.145,0.161,21.653,17,0,1,viabundus
9162,Zwenkau,51.217499,12.327222,1450,4.5506,2,7.328,1.186,14.055,18,0,1,viabundus
11064,Heldrungen,51.299446,11.215278,1600,4.5499,2,52.91,1.487,15.41,40,0,1,viabundus
11064,Heldrungen,51.299446,11.215278,1650,4.5499,2,52.91,1.487,15.41,40,0,1,viabundus
14034,Geldern,51.517502,6.3233333,1350,4.5489,2,13.283,0.145,0.0,21,0,1,viabundus
11007,Artern,51.366112,11.292778,1550,4.5484,2,44.568,0.482,19.005,38,0,1,viabundus
10019,Eisenach,50.977222,10.322222,1600,4.5476,2,27.743,0.406,0.0,35,0,1,viabundus
10085,Bad Sulza,51.086945,11.623611,1600,4.5457,2,56.9,0.565,5.858,38,0,1,viabundus
10085,Bad Sulza,51.086945,11.623611,1650,4.5457,2,56.9,0.565,5.858,38,0,1,viabundus
12094,Osterode am Harz,51.727501,10.250834,1500,4.5455,2,32.145,0.026,17.448,37,0,1,viabundus
12094,Osterode am Harz,51.727501,10.250834,1550,4.5455,2,32.145,0.026,17.448,37,0,1,viabundus
12080,Hann. Muenden,51.417221,9.6511106,1350,4.5454,3,4.0,0.062,15.232,15,1,1,viabundus
12067,Jever,53.575554,7.9002776,1650,4.5452,2,5.502,0.29,20.644,16,0,1,viabundus
11114,Quedlinburg,51.789165,11.143888,1650,4.5452,2,37.164,0.032,1.218,37,0,1,viabundus
11084,Langensalza,51.106667,10.649445,1650,4.5449,2,38.367,0.042,13.45,37,0,1,viabundus
10061,Ohrdruf,50.827778,10.733055,1650,4.5449,2,59.018,2.639,24.357,42,0,1,viabundus
12022,Burgdorf,52.446667,10.008611,1600,4.5448,2,19.668,0.101,0.0,26,0,1,viabundus
10001,Allstedt,51.401669,11.384444,1550,4.5446,2,36.751,0.051,17.796,37,0,1,viabundus
11013,Bernburg,51.794167,11.736944,1450,4.5436,2,0.099,0.043,32.638,13,0,1,viabundus
10013,Buttstaedt,51.121113,11.416389,1600,4.5429,2,59.447,0.101,0.0,37,0,1,viabundus
10013,Buttstaedt,51.121113,11.416389,1650,4.5429,2,59.447,0.101,0.0,37,0,1,viabundus
10004,Arnstadt,50.833057,10.946389,1650,4.5421,2,70.397,0.127,17.064,37,0,1,viabundus
11101,Naumburg (Saale),51.151943,11.809722,1650,4.5417,3,42.154,0.138,0.0,37,0,1,viabundus
12028,Dassel,51.801945,9.686944,1400,4.5417,2,19.084,1.365,12.256,27,0,1,viabundus
9142,Taucha,51.381668,12.501667,1650,4.5407,2,14.566,2.178,9.838,24,0,1,viabundus
11063,Heiligenstadt,51.378334,10.137777,1400,4.5406,2,16.377,0.058,0.117,23,0,1,viabundus
13153,Wattenscheid,51.482498,7.1347222,1500,4.5398,2,15.855,0.447,8.766,23,0,1,viabundus
13153,Wattenscheid,51.482498,7.1347222,1550,4.5398,2,15.855,0.447,8.766,23,0,1,viabundus
10022,Bad Frankenhausen,51.354443,11.104722,1650,4.5395,2,55.587,0.204,9.531,37,0,1,viabundus
15093,Melsungen,51.130833,9.5436115,1550,4.539,2,4.286,0.054,20.671,15,0,1,viabundus
15093,Melsungen,51.130833,9.5436115,1600,4.539,2,4.286,0.054,20.671,15,0,1,viabundus
7101,Plaue (Havel),52.406944,12.4125,1600,4.5382,2,4.194,0.144,8.933,15,0,1,viabundus
12010,Bockenem,52.007778,10.129167,1450,4.5369,2,26.821,0.171,20.097,33,0,1,viabundus
13104,Minden,52.288055,8.914444,1400,4.5359,3,2.405,0.108,0.0,14,0,1,viabundus
13104,Minden,52.288055,8.914444,1450,4.5359,3,2.405,0.108,0.0,14,0,1,viabundus
13038,Dorsten,51.660831,6.9644446,1350,4.5359,2,4.462,0.025,21.293,15,0,1,viabundus
13109,Nieheim,51.80389,9.1099997,1550,4.5343,2,20.768,1.146,18.872,28,0,1,viabundus
11176,Zoerbig,51.628334,12.1225,1650,4.5337,2,20.955,1.745,10.121,29,0,1,viabundus
12037,Emden,53.370556,7.2058334,1600,4.5332,3,18.98,0.137,0.0,25,1,1,viabundus
12037,Emden,53.370556,7.2058334,1650,4.5332,3,18.98,0.137,0.0,25,1,1,viabundus
13143,Unna,51.534721,7.6897221,1450,4.5325,2,12.703,0.069,14.59,20,0,1,viabundus
13143,Unna,51.534721,7.6897221,1500,4.5325,2,12.703,0.069,14.59,20,0,1,viabundus
11097,Moeckern,52.139721,11.9525,1600,4.5317,2,14.159,0.05,0.099,21,0,1,viabundus
13044,Duelmen,51.828335,7.2788887,1450,4.5313,2,12.759,0.066,0.132,20,0,1,viabundus
11008,Aschersleben,51.755833,11.455,1500,4.5307,2,16.53,0.247,22.997,23,0,1,viabundus
11083,Landsberg bei Halle,51.525276,12.158611,1600,4.5304,2,24.477,0.069,12.058,30,0,1,viabundus
13095,Luebbecke,52.303333,8.6172218,1650,4.5299,2,20.975,1.135,20.39,28,0,1,viabundus
9048,Groitzsch,51.154167,12.280833,1500,4.5295,2,14.743,0.641,15.524,22,0,1,viabundus
11032,Eckartsberga,51.122501,11.561111,1550,4.5294,2,55.294,1.052,0.0,38,0,1,viabundus
7073,Lenzen,53.090832,11.474722,1600,4.5283,2,4.489,0.232,25.226,15,0,1,viabundus
7073,Lenzen,53.090832,11.474722,1650,4.5283,2,4.489,0.232,25.226,15,0,1,viabundus
13018,Bocholt,51.837776,6.6155558,1350,4.5278,2,8.283,0.066,17.084,17,0,1,viabundus
13018,Bocholt,51.837776,6.6155558,1400,4.5278,2,8.283,0.066,17.084,17,0,1,viabundus
11022,Calbe a. d. Saale,51.902779,11.774722,1450,4.5274,2,0.517,0.238,27.053,13,0,1,viabundus
13098,Luegde,51.957779,9.2458334,1400,4.5271,2,14.09,2.92,17.968,24,0,1,viabundus
13012,Bevergern,52.272499,7.5819445,1550,4.527,2,9.601,4.314,9.708,22,0,1,viabundus
11024,Coswig (Anahlt),51.885555,12.4575,1650,4.5269,3,6.543,0.109,15.193,16,1,1,viabundus
9085,Markranstaedt,51.301109,12.22,1500,4.5266,2,11.822,2.772,11.456,22,0,1,viabundus
11076,Kindelbrueck,51.259445,11.089444,1600,4.526,2,62.626,0.049,6.938,36,0,1,viabundus
11057,Hadmersleben,51.991943,11.301389,1650,4.5259,2,27.474,1.246,0.0,35,0,1,viabundus
12084,Nienburg (Weser),52.640278,9.206111,1650,4.5259,2,4.866,0.043,16.657,15,0,1,viabundus
13020,Borgentreich,51.571388,9.2402782,1450,4.5258,2,14.134,2.07,11.049,23,0,1,viabundus
13066,Haltern,51.74361,7.1869445,1300,4.5251,2,2.733,0.204,26.001,14,0,1,viabundus
9070,Leipzig,51.340557,12.375,1450,4.524,2,8.133,0.285,0.57,17,0,1,viabundus
12075,Luechow,52.967499,11.161667,1600,4.5234,2,2.715,0.268,0.0,14,0,1,viabundus
10004,Arnstadt,50.833057,10.946389,1600,4.5234,2,70.397,0.127,17.064,36,0,1,viabundus
12075,Luechow,52.967499,11.161667,1650,4.5234,2,2.715,0.268,0.0,14,0,1,viabundus
15044,Grebenstein,51.446667,9.414444,1400,4.5232,2,14.074,1.298,15.92,22,0,1,viabundus
11055,Guentersberge,51.644722,10.981112,1600,4.5232,2,48.014,0.132,19.755,36,0,1,viabundus
11170,Worbis,51.421944,10.358889,1600,4.5231,2,31.326,0.135,0.343,36,0,1,viabundus
11101,Naumburg (Saale),51.151943,11.809722,1600,4.523,3,42.154,0.138,0.0,36,0,1,viabundus
13001,Ahaus,52.075832,7.0050001,1600,4.5227,2,19.525,0.072,17.831,25,0,1,viabundus
13001,Ahaus,52.075832,7.0050001,1650,4.5227,2,19.525,0.072,17.831,25,0,1,viabundus
11040,Ermsleben,51.731945,11.343889,1550,4.5226,2,23.394,0.371,0.0,29,0,1,viabundus
11166,Wiehe,51.267223,11.411944,1550,4.5224,2,46.099,0.156,16.046,36,0,1,viabundus
11059,Haldensleben,52.291111,11.410833,1600,4.5214,2,21.959,2.101,15.455,30,0,1,viabundus
11058,Halberstadt,51.896111,11.047222,1650,4.5214,2,37.685,0.188,0.0,36,0,1,viabundus
