city_id,name,lat,lon,year,legal_capacity,merchant_capital,agricultural_surplus,peasant_mobility,noble_extraction,conflict_risk,trade_access,composite_raw,composite_0_3,nodesid
3034,Labes,53.633335,15.616667,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16387.0
3035,Landeck,53.535831,16.953888,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3036,Lauenburg,54.543056,17.745832,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,4279.0
3037,Leba,54.75639,17.555555,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16388.0
3038,Maerkisch Friedland,53.341389,16.084999,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,4775.0
3039,Massow,53.496387,15.060278,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,4804.0
3040,Naugard,53.666668,15.116667,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,5161.0
3041,Neustettin,53.716667,16.683332,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,5317.0
3042,Neuwarp,53.725277,14.279445,1250,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4999999999999998,0,14449.0
3043,Neuwedell,53.216667,15.75,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16390.0
3044,Noerenberg,53.383335,15.55,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,16391.0
3045,Plathe,53.803612,15.27,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,5964.0
3046,Pollnow,54.099998,16.700001,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16393.0
3047,Bad Polzin,53.765556,16.092777,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6039.0
3048,Preussisch Friedland,53.536388,17.235277,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6110.0
3049,Pyritz,53.143055,14.893056,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,6185.0
3050,Radolin,53.0,16.549999,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3051,Ratzebuhr i. Pomm.,53.533333,16.85,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3052,Reetz (Neumark),53.260277,15.546389,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6312.0
3053,Regenwalde,53.772778,15.405833,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,6315.0
3054,Ruegenwalde,54.422222,16.411112,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,8875.0
3055,Rummelsburg i. Pomm.,53.999722,16.976389,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3056,Schivelbein,53.766666,15.783334,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6859.0
3057,Schlawe,54.349998,16.666666,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,6872.0
3058,Schlochau,53.650002,17.366667,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,6887.0
3059,Schloppe,53.083332,16.1,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,6889.0
3060,Schneidemuehl,53.150002,16.733334,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,6915.0
3061,Schoenlanke,53.033333,16.466667,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3062,Stargard in Pommern,53.336945,15.046667,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,7343.0
3063,Stepenitz,53.650002,14.616667,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3064,Stettin,53.424721,14.555278,1250,3.0,1.0,2.0,2.0,1.0,1.0,0.0,5.300000000000001,2,7413.0
3065,Stettin-Altdamm,53.395,14.665,1250,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.5,1,175.0
