city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score
11758,Mühlendamm,52.515043,13.406904,1244,1650,y,1300,,0.062,0.072,127.492,0,0,0,,0,0,1,0,0,1,2
11759,,52.517186,13.404293,1244,1650,y,1300,,0.263,0.117,127.402,0,0,0,,0,0,1,0,0,1,2
11760,,52.515828,13.399801,1237,1650,y,1300,,0.427,0.352,127.065,0,0,0,,0,0,0,0,0,1,2
11772,,54.709378,20.508352,1286,1650,,1300,,18.305,0.083,433.12,0,0,0,,0,0,0,0,0,1,2
7165,Sittard,50.998257,5.870506,1243,1650,y,1300,,9.349,0.204,20.647,6,18,0,,0,0,0,0,0,1,2
11789,,53.246835,10.414162,1247,1650,y,1300,,10.107,0.041,0.494,6,11,0,,0,0,0,0,0,1,2
11797,,53.467175,9.984105,1297,1650,y,1300,,0.545,0.123,9.005,7,13,0,,0,0,0,0,0,1,2
12165,,52.486615,4.658646,1298,1650,,1300,,8.014,0.098,53.915,0,15,0,,0,0,0,0,0,1,2
11805,,52.289841,8.922175,1230,1650,,1300,,2.592,0.052,0.415,4,30,0,,0,0,0,0,0,1,2
11811,,51.43515,6.762927,1145,1650,,1300,,0.636,0.081,17.475,14,39,0,,0,1,0,0,0,1,3
12655,,52.010829,4.358154,1246,1650,,1300,,2.986,0.021,48.677,3,11,0,,0,0,0,0,0,1,2
11823,,53.939627,12.109869,1276,1650,,1300,,6.525,0.086,57.264,0,3,0,,0,0,0,0,0,1,2
11824,,54.084849,12.150596,1218,1650,,1300,,8.183,0.34,69.996,0,3,0,,0,0,0,0,0,1,2
11825,,53.847329,11.986774,1229,1650,,1300,,6.528,0.136,44.778,2,3,0,,0,0,0,0,0,1,2
19405,,56.570067,9.028626,1200,1650,,1300,,46.719,0.201,34.553,1,2,0,,0,0,0,0,0,1,2
11832,,53.143614,11.246016,1259,1650,,1300,,0.13,0.153,11.237,1,8,0,,0,0,0,0,0,1,2
11833,,53.280017,11.562488,1252,1650,,1300,,5.421,0.076,37.094,3,5,0,,0,0,0,0,0,1,2
11834,,53.382608,11.582551,1248,1650,,1300,,5.743,0.056,29.534,3,5,0,,0,0,0,0,0,1,2
11849,Oudewater,52.022978,4.872386,1257,1650,,1300,,0.096,0.096,18.513,9,25,0,,0,0,0,0,0,1,2
11856,,52.354122,14.065869,1252,1650,,1300,,0.278,0.158,161.909,0,0,0,,0,0,0,0,0,1,2
12656,,53.219279,6.557448,1245,1650,,1300,,0.54,0.166,0.625,3,10,0,,0,0,0,0,0,1,2
17598,Enghien,50.693516,4.039493,1300,1650,,1300,2000.0,32.05,6.435,76.583,0,2,0,,0,0,0,0,0,1,1
12182,,52.167771,8.861695,1250,1368,,1300,,4.542,0.102,13.892,4,28,0,,0,0,0,0,0,1,2
