city_id,name,lat,lon,charter_year,market_year,match_km,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,cid
12071,Leer,53.229443,7.4513888,1823.0,1508.0,1.4250338899974104,2000.0,2000.0,2000.0,1000.0,3000.0,1,0,1030
12080,Hann. Muenden,51.417221,9.6511106,1150.0,1500.0,16.061290564273037,,,,,,1,0,910
12082,Neuenhaus,52.498055,6.9663887,1369.0,,31.46997918835298,,,,,,0,0,626
12109,Salzgitter,52.046665,10.371944,1400.0,1500.0,11.64906747664578,,,,,,0,0,1692
13002,Ahlen,51.762779,7.8897223,1224.0,1214.0,9.75937732411952,,,,,,0,0,200
13003,Altena,51.298054,7.668889,1367.0,,8.037194810417688,,,,,,0,0,863
13004,Anholt,51.846111,6.4274998,1349.0,,10.968453490940185,,,,,,1,0,621
13005,Arnsberg,51.395557,8.0647221,1237.0,,19.771281876527684,,,,,,0,0,1811
13006,Attendorn,51.125,7.9050002,1222.0,,29.67341889186817,,,,,,0,0,1788
13013,Beverungen,51.662777,9.3725004,1417.0,,24.67643156799656,,,,,,1,0,2158
13014,Bielefeld,52.020557,8.5319443,,1233.0,0.8196620703250354,0.0,1000.0,1000.0,1000.0,2000.0,0,0,242
13015,Billerbeck,51.977501,7.2908335,1318.0,1740.0,9.821760483875988,,,,,,1,0,483
13016,Blankenstein,51.405834,7.2261109,,1954.0,3.263736874743595,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,809
13018,Bocholt,51.837776,6.6155558,1201.0,,16.667750669453365,,,,,,0,0,2187
13019,Bochum,51.482498,7.2169442,,1298.0,7.508868079867664,,,,,,0,0,822
13025,Bottrop,51.523613,6.9297223,1919.0,1423.0,0.7835012413001353,0.0,0.0,0.0,1000.0,1000.0,0,0,280
13027,Breckerfeld,51.261391,7.4650002,1396.0,,10.522199948947192,,,,,,0,0,1588
13028,Bredenborn,51.810555,9.1822224,1582.0,1657.0,31.402304006590175,,,,,,0,0,1444
13029,Brilon,51.395279,8.5680552,1220.0,1592.0,35.03652867526569,,,,,,1,0,1069
13030,Buende,52.197498,8.5836115,1719.0,,12.34006234661846,,,,,,1,0,820
13035,Datteln,51.653057,7.3425002,1936.0,1845.0,12.75901694612165,,,,,,0,0,1602
13039,Dortmund,51.514168,7.4638891,1202.0,990.0,0.7741664700037598,3000.0,4000.0,7000.0,9000.0,8000.0,0,0,568
13040,Drensteinfurt,51.796944,7.7413888,1428.0,,15.11805529362255,,,,,,1,0,797
13047,Ennepetal,51.297501,7.356111,1949.0,1949.0,9.663262977310305,,,,,,1,0,183
13055,Gelsenkirchen,51.511112,7.1005554,1277.0,,0.9890488407167847,0.0,1000.0,1000.0,1000.0,0.0,0,0,708
13060,Greven,52.092499,7.6130557,1949.0,1200.0,15.852310907380158,,,,,,1,0,1283
13063,Hagen,51.360001,7.4672222,1746.0,,1.4223715695103243,0.0,0.0,0.0,0.0,1000.0,0,0,785
13065,Hallenberg,51.111946,8.6211109,1338.0,1554.0,34.09625022536624,,,,,,1,0,1148
13085,Kamen,51.592224,7.6622224,1243.0,1500.0,7.027293441114425,,,,,,0,0,2032
13102,Menden,50.790001,7.1655555,1275.0,1482.0,8.984863177073837,,,,,,1,0,269
13153,Wattenscheid,51.482498,7.1347222,1413.0,1954.0,4.036640270169949,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,261
14001,Aachen,50.773335,6.084722,1088.0,814.0,0.8120897024139928,0.0,1000.0,1000.0,1000.0,1000.0,0,0,331
