cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop900,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l800,l1000,l1200,l1300,l1400,l1500,elev_z
140,Autun,France,46.95,4.3,280,river north sea,False,True,2000.0,3000.0,3000.0,4000.0,5000.0,7000.0,4000.0,5000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,8.517193191416238,8.85366542803745,8.294049640102028,8.517193191416238,0.46996025298486
141,Auxerre,France,47.8,3.57,100,river north sea,False,True,3000.0,4000.0,5000.0,7000.0,10000.0,10000.0,6000.0,2000.0,1,0,0,0,0,1,0,8.006367567650246,8.517193191416238,9.210340371976184,9.210340371976184,8.699514748210191,7.600902459542082,-0.4181813839228835
142,Avallon,France,47.48,3.9,163,land north sea,False,True,1000.0,2000.0,2000.0,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,7.600902459542082,7.600902459542082,8.006367567650246,7.600902459542082,7.600902459542082,-0.10733181100517329
144,Avellino,Italy,40.82,14.78,201,land mediterranean,False,True,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,6.907755278982137,7.600902459542082,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,0.08016475678646146
145,Aversa,Italy,40.97,14.2,38,land mediterranean,False,True,0.0,0.0,1000.0,2000.0,4000.0,4000.0,3000.0,5000.0,0,0,1,0,0,0,1,,6.907755278982137,8.294049640102028,8.294049640102028,8.006367567650246,8.517193191416238,-0.7240968366355508
146,Avigliano,Italy,40.73,15.73,827,land mediterranean,False,True,0.0,0.0,0.0,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,3.1689240051433916
147,Avignon,France,43.95,4.82,21,river mediterranean,False,True,2000.0,2000.0,3000.0,4000.0,5000.0,6000.0,15000.0,18000.0,1,0,0,0,0,0,1,7.600902459542082,8.006367567650246,8.517193191416238,8.699514748210191,9.615805480084347,9.798127036878302,-0.8079768801212821
149,Avola,Italy,36.9,15.15,40,med,False,True,2000.0,2000.0,2000.0,2000.0,2000.0,1000.0,2000.0,2000.0,0,1,0,0,0,0,1,7.600902459542082,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,7.600902459542082,-0.7142285962254648
150,Avranches,France,48.68,-1.37,7,river north sea,False,True,1000.0,2000.0,2000.0,2000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,7.600902459542082,8.006367567650246,7.600902459542082,7.600902459542082,-0.8770545629918843
154,Bad Hersfeld,Germany,50.87,9.7,212,river north sea,True,True,0.0,0.0,0.0,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,0.13444007904193467
155,Bad Ischl,Austria,47.72,13.63,468,river black sea,True,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1,0,0,0,0,0,0,,,,6.907755278982137,6.907755278982137,,1.3975748515329476
156,Bad Kreuznach,Germany,49.87,7.85,104,river north sea,True,True,1000.0,2000.0,2000.0,2000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,7.600902459542082,8.006367567650246,7.600902459542082,8.006367567650246,-0.39844490310271147
