city_id,comment,time_point,type_origin,type_category,legal_family,legal_family_own,unused,uncertainty,range,source
1071,An Stelle einer Prussenburg (Alhem? 1236 zerstört) baute der Dt. Orden eine Burg (zwischen 1326 u. 1335),1326,5,10,,,0,0,2,3
1072,"Verleihung des Stadtrechts durch Friedrich Wilhelm I. 1722 (zugleich mit Stallupönen, Ragnit, Bialla, Nikolaiken).",1722,1,1,,,0,0,0,4
1072,Die Prussenburg Sugurbi an der Stelle der heutigen Stadt T. wurde 1265 dem Orden übergeben u. von diesem ausgebaut.,1265,5,10,,,0,0,0,3
1073,Die Städteordnung von 1853 wurde 1880 eingeführt.,1880,1,1,,,0,0,0,4
1073,T. entstand 2. H. 16. Jh. im Anschluß an den Domänenhof der Danziger Kaufmannsfamilie Loitze,1550,5,10,,,0,0,3,3
1074,Hz. Albrecht erteilte der Stadt 1552 Stadtrecht,1552,1,1,,,0,0,0,4
1074,"Die Burg Splitter wurde unterhalb von T, auf einem Gebiet, das heute zum Stadtbez. gehört, 1365 angelegt",1365,5,10,,,0,0,0,3
1075,Die Stadt wurde von einem Lokator angelegt u. von dem Elbinger Komtur (später Landmeister) Ludwig von Schippen (1296-1300) mit einer Gründungsurk. versehen. Handfeste 1351 von Hochmeister Heinrich Dusemer u. 1444 von Hochmeister Konrad von Erlichhausen erneuert. Kulm. Recht,1296,1,0,K03,,0,0,1,4
1075,"Deutschordensburg, 1454 zerstört",1454,5,10,,,0,0,0,3
1076,"Die Stadt wurde von Hz. Albrecht 1560 gegenüber der Jagdbude auf der anderen Seite der Lenga an der Stelle gegr., wo eine Handelsstraße von Polen nach Preußen zwischen dem Gr. und Kl. TGr.er See die Lenga überschritt. Kulm. Recht.",1560,1,0,K03,,0,0,0,4
1076,Marggrabowa (1560),1560,5,10,,,0,0,0,1
1077,Der 7 km ö. an der heutigen Stelle neugegr. civitas gab der Bf. von Ermland Johannes Strifrod als Landesherr 1364 die Handfeste u. kulm. Recht.,1364,1,1,K03,,0,0,0,4
1077,Wildhaus castrum Wartenbergk 1325 am NO-Ufer des Madangsees,1325,5,10,,,0,0,0,3
1078,Der Orden erteilte 1336 dem Gottfried Hundertmark das Gründungspriv. nach kulm. Recht.,1336,1,1,K03,,0,0,0,4
1078,Burg Wetalo 1255 von den Prussen als Sperrort gegen den Dt. Ritterorden errichtet,1255,5,10,,,0,0,0,3
1079,Erhebung des Fleckens zur Stadt durch Ko. Kg. Friedrich Wilhelms I. 1723.,1723,1,1,,,0,0,0,4
1079,Wildhaus (1361),1361,5,10,,,0,0,0,3
1080,Bf. Eberhard von Reiße verlieh W. um 1312 Stadtrechte nach dem Kulmer Recht.,1312,1,1,K03,,0,0,1,4
1080,"W. erstmals 1308 als dt. Siedlung, 1312 als Pfarrgemeinde, 1313 als Stadt urk. belegt",1308,5,10,,,0,0,0,3
1081,"Mit der in der Verleihungsurk. für den Preußen Gulenko 1294 erwähnten ""stadt"" bei Maraunen ist wahrscheinl. Z. gemeint.",1294,0,3,,,0,0,0,4
1081,Das erste Stadtrecht E. 13. Jh. nicht erhalten,1275,1,1,,,1,0,2,4
1081,"1341 ""civitas""",1341,1,2,,,0,0,0,4
1081,"Erneuerung des Stadtrechts durch Winrich von Kniprode 1352, kulm. Recht",1352,3,8,K03,,0,0,0,4
1081,Um 1290 dt. Siedlung angelegt.,1290,5,10,,,0,0,1,3
1082,Durch Erlaß des früheren Kaisers Wilhelm II. vom 8.10.1901 ist der Ldgm. Z. die Annahme der Städteordnung vom 1.4.1902 abgestattet worden.,1901,1,1,,,0,0,0,4
1082,Burgwall am Höhenrande aus der Zeit um 1000.,1000,5,10,,,0,0,1,3
2001,Lüb. Stadtrecht sicher ab 1292,1292,1,1,L04,,0,0,0,4
2001,Dt. Neugründung um 1242-43,1242,5,10,,,0,0,1,3
2002,Fürst Jaromar II. von Rügen verlieh 1255 Stadtgebiet lüb. Recht,1255,1,1,L04,,0,0,0,4
2002,Das Land Barth 1159 zuerst erwähnt,1159,5,10,,,0,0,0,3
2003,Erst 1613 erfolgte die Verleihung des Stadtrechts durch Herzog Philipp Julius von Pommern-Wolgast. Für die Gewährung verschiedener Privilegien und die Übernahme des Lübischen Rechts musste Bergen 8000 Mark an den Herzog zahlen.,1613,1,1,L04,,0,0,0,wiki
2003,"Dieses Kloster, das erste Steinbauwerk (1193 opus latericium) auf der Insel Rügen, gab die Veranlassung zur Entst. des Dorfes u. Fleckens Bergen im 13. Jh.",1193,5,10,,,0,0,0,3
2004,Stadtgründung 1258 durch Fürst Jaromar II. von Rügen als Grenzsetzung gegen Mecklenburg. Lüb. Recht,1258,1,1,L04,,0,0,0,4
2004,Stadtgründung 1258 durch Fürst Jaromar II. von Rügen als Grenzsetzung gegen Mecklenbug. Lüb. Recht,1258,5,10,,,0,0,0,3
2005,Stadtgründung um 1249 (civitas). Lüb. Recht,1249,1,0,L04,,0,0,1,4
2005,"Bei Adam von Bremen um 1070 als ""sehr große Stadt"" erwähnt",1070,5,10,,,0,0,0,3
