city_id,comment,time_point,type_conflict,type_detail,warlabel,overreported,uncertainty,range,ThirtyYW_leader,ThirtyYW_conflict_party,ThirtyYW_territory,ThirtyYW_country,source
1071,1656-60 schwed. Besatzung,1656,3,cd1,0,0,0,0,,,,,"10, 11"
1072,1758 russ. Besatzung im 7jaehr Krieg,1758,3,cd1,0,0,0,0,,,,,"10, 11"
1078,1455 Belagerung durch dt. Orden,1455,3,d2,0,0,0,0,,,,,"10, 11"
1078,1679 schwed. Besatzung ,1679,3,cd1,0,0,0,0,,,,,"10, 11"
1078,1757 russ. Besatzung mit Unterbrechung bis 1762,1757,3,cd1,0,0,0,0,,,,,"10, 11"
1080,Belagerung und Einnahme durch Gustav Adolf im Schwed.-Poln. Krieg 1627 (blieb bis 1629 schwedisch),1627,1,e2,2,0,0,0,30,2,21,7,"10, 11"
1080,Belagerung und Einnahme durch Gustav Adolf im Schwed.-Poln. Krieg 1627 (blieb bis 1629 schwedisch),1627,3,d2,2,0,0,0,30,2,21,7,"10, 11"
1080,Eroberung im Reiterkrieg 1520 durch Hochmeister Albrecht (Besatzung bis 1525),1520,1,e2,0,0,0,0,,,,,"10, 11"
1080,Eroberung im Reiterkrieg 1520 durch Hochmeister Albrecht (Besatzung bis 1525),1520,3,cd1,0,0,0,0,,,,,"10, 11"
1081,1414 durch Polen niedergebrannt,1414,2,a3,0,0,0,0,,,,,"10, 11"
1081,1520 Belagerung durch die Polen (Anzuendung der Vorstadt),1520,2,a3,0,0,0,0,,,,,"10, 11"
1081,1520 Belagerung durch die Polen (Anzuendung der Vorstadt),1520,3,d2,0,0,0,0,,,,,"10, 11"
1081,"1628 schwed. Besatzung, starke Verschuldung",1628,3,cd1,2,0,0,0,28,2,21,7,"10, 11"
1081,Im 7jaehr Krieg russische Besatzung,1756,3,cd1,3,0,0,2,,,,,"10, 11"
2001,1438 schloss A. Ein Buendnis geen Hz. Hinrich von Meckelnburg-Stargard und erlitt durch einen Einfall des mecklb. Lehnsmannes Wedog Ribe in das Rige Feld bedeutenden Schaden,1438,2,ab1,0,0,0,0,,,,,"10, 11"
2001,1438 schloss A. Ein Buendnis geen Hz. Hinrich von Meckelnburg-Stargard und erlitt durch einen Einfall des mecklb. Lehnsmannes Wedog Ribe in das Rige Feld bedeutenden Schaden,1438,1,e1,0,0,0,0,,,,,"10, 11"
2001,1627-29 Besetzung durch kaiserl. Truppen,1627,3,cd1,2,0,0,0,5,1,29,3,"10, 11"
2001,1630 Besetzung durch schwed. Truppen,1630,3,cd1,2,0,0,0,28,2,21,7,"10, 11"
2001,1637 Angriff der Kaiserl. Auf das von Schweden verteidigte A. Abgeschlagen,1637,1,e1,2,0,0,0,5,1,29,3,"10, 11"
2001,1648 schwedische Besatzung,1648,3,cd1,2,0,0,0,28,2,21,7,"10, 11"
2001,1657 Einfall der Polen auf A.er Untertanengebiet und Verwuestung der Stadtdoerfer,1657,1,e1,0,0,0,0,,,,,"10, 11"
2001,1657 Einfall der Polen auf A.er Untertanengebiet und Verwuestung der Stadtdoerfer,1657,2,a1,0,0,0,0,,,,,"10, 11"
2001,"1676 Belagerung, Beschieszung und Einnahme durch den Gr. Kurf, der A. Bis 1679 besetzt hielt",1676,1,e2,0,0,0,0,,,,,"10, 11"
2001,"1676 Belagerung, Beschieszung und Einnahme durch den Gr. Kurf, der A. Bis 1679 besetzt hielt",1676,2,a2,0,0,0,0,,,,,"10, 11"
2001,"1676 Belagerung, Beschieszung und Einnahme durch den Gr. Kurf, der A. Bis 1679 besetzt hielt",1676,3,d2,0,0,0,0,,,,,"10, 11"
2001,"1676 Belagerung, Beschieszung und Einnahme durch den Gr. Kurf, der A. Bis 1679 besetzt hielt",1676,3,cd1,0,0,0,0,,,,,"10, 11"
2001,1711 Besetzung durch Russen und Sachsen,1711,3,cd1,0,0,0,0,,,,,"10, 11"
2001,1713 durch Russen gepluendert,1713,3,b3,0,0,0,0,,,,,"10, 11"
2001,1720 russische Besatzung,1720,3,cd1,0,0,0,0,,,,,"10, 11"
2001,Im 7.jK (1754-61) wiederholte Besetzungen und Brandschatzungen durch schwed. Und preusz Truppen,1756,3,b4,3,0,0,2,,,,,"10, 11"
